//DATASET,
//created,Wed, 24 Feb 2021 21:39:28 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.9654
191.8095,192.0094,-60.3635
192.0094,192.2092,-59.9268
192.2092,192.4091,-59.7149
192.4091,192.6089,-59.7504
192.6089,192.8088,-59.9978
192.8088,193.0086,-60.3554
193.0086,193.2084,-60.6738
193.2084,193.4083,-60.8037
193.4083,193.6081,-60.6667
193.6081,193.808,-60.3134
193.808,194.0078,-59.9237
194.0078,194.2077,-59.7308
194.2077,194.4075,-59.8863
194.4075,194.6073,-60.3355
194.6073,194.8072,-60.7792
194.8072,195.007,-60.7765
195.007,195.2069,-59.9788
195.2069,195.4067,-58.3341
195.4067,195.6066,-56.2065
195.6066,195.8064,-54.255
195.8064,196.0062,-53.1687
196.0062,196.2061,-53.3737

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,-0.937
191.8,-0.6396
191.9,-0.372
192,-0.1436
192.1,0.0371
192.2,0.1625
192.3,0.2282
192.4,0.2319
192.7,-0.0884
192.9,-0.4665
193,-0.6532
193.2,-0.9242
193.3,-0.9762
193.4,-0.9599
193.5,-0.8781
193.6,-0.7383
193.7,-0.5603
193.8,-0.3693
193.9,-0.1963
194,-0.0711
194.1,-0.0173
194.2,-0.054
194.3,-0.1822
194.7,-1.1233
194.8,-1.2312
194.9,-1.1796
195,-0.9299
195.1,-0.4604
195.2,0.2318
195.3,1.1091
195.5,3.1898
195.6,4.2247
195.7,5.1319
195.8,5.8239
195.9,6.2374

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.8722
191.8095,192.0094,-60.2637
192.0094,192.2092,-59.8209
192.2092,192.4091,-59.6037
192.4091,192.6089,-59.6347
192.6089,192.8088,-59.8783
192.8088,193.0086,-60.2324
193.0086,193.2084,-60.5472
193.2084,193.4083,-60.673
193.4083,193.6081,-60.5315
193.6081,193.808,-60.1732
193.808,194.0078,-59.7788
194.0078,194.2077,-59.5817
194.2077,194.4075,-59.7334
194.4075,194.6073,-60.1785
194.6073,194.8072,-60.6162
194.8072,195.007,-60.6043
195.007,195.2069,-59.7938
195.2069,195.4067,-58.133
195.4067,195.6066,-55.9883
195.6066,195.8064,-54.0224
195.8064,196.0062,-52.928
196.0062,196.2061,-53.1339

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,-1.1675
191.7,-0.8463
191.8,-0.5454
191.9,-0.2745
192.1,0.1407
192.2,0.2689
192.3,0.3372
192.4,0.3432
192.5,0.2892
192.6,0.1806
192.7,0.0287
192.8,-0.153
192.9,-0.3463
193,-0.5313
193.1,-0.6884
193.2,-0.7987
193.3,-0.8488
193.4,-0.8302
193.5,-0.746
193.6,-0.6038
193.8,-0.2298
193.9,-0.0543
194,0.0732
194.1,0.1289
194.2,0.0941
194.3,-0.0323
194.4,-0.2394
