//DATASET,
//created,Wed, 24 Feb 2021 21:49:02 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.7957
191.8095,192.0094,-60.1818
192.0094,192.2092,-59.734
192.2092,192.4091,-59.5125
192.4091,192.6089,-59.5398
192.6089,192.8088,-59.7803
192.8088,193.0086,-60.1316
193.0086,193.2084,-60.4434
193.2084,193.4083,-60.5659
193.4083,193.6081,-60.4205
193.6081,193.808,-60.0583
193.808,194.0078,-59.6599
194.0078,194.2077,-59.4593
194.2077,194.4075,-59.608
194.4075,194.6073,-60.0497
194.6073,194.8072,-60.4826
194.8072,195.007,-60.4632
195.007,195.2069,-59.6421
195.2069,195.4067,-57.9681
195.4067,195.6066,-55.8093
195.6066,195.8064,-53.8315
195.8064,196.0062,-52.7306
196.0062,196.2061,-52.9372

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,-0.7719
191.8,-0.4682
191.9,-0.1945
192,0.0396
192.1,0.2258
192.2,0.3563
192.3,0.4266
192.4,0.4345
192.7,0.1247
192.8,-0.0557
192.9,-0.2476
193.1,-0.5869
193.2,-0.6958
193.3,-0.7442
193.4,-0.7238
193.5,-0.6377
193.6,-0.4935
193.7,-0.3109
193.9,0.0622
194,0.1915
194.1,0.249
194.2,0.2157
194.6,-0.6251
194.7,-0.8339
194.8,-0.9347
194.9,-0.8741
195,-0.6135
195.1,-0.1311
195.3,1.4693
195.4,2.4982
195.5,3.5828
195.6,4.6327
195.7,5.5526
195.8,6.2542

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.757
191.8095,192.0094,-60.1403
192.0094,192.2092,-59.69
192.2092,192.4091,-59.4663
192.4091,192.6089,-59.4918
192.6089,192.8088,-59.7306
192.8088,193.0086,-60.0805
193.0086,193.2084,-60.3908
193.2084,193.4083,-60.5116
193.4083,193.6081,-60.3644
193.6081,193.808,-60.0001
193.808,194.0078,-59.5997
194.0078,194.2077,-59.3974
194.2077,194.4075,-59.5445
194.4075,194.6073,-59.9845
194.6073,194.8072,-60.4149
194.8072,195.007,-60.3917
195.007,195.2069,-59.5653
195.2069,195.4067,-57.8845
195.4067,195.6066,-55.7186
195.6066,195.8064,-53.7348
195.8064,196.0062,-52.6306
196.0062,196.2061,-52.8375

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,-1.0597
191.9,-0.154
192,0.0814
192.3,0.4719
192.5,0.4294
