//DATASET,
//created,Mon, 15 Feb 2021 21:26:36 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
193.4083,193.6081,-57.3997
193.6081,193.808,-56.9271
193.808,194.0078,-56.4211
194.0078,194.2077,-56.1254
194.2077,194.4075,-56.1911
194.4075,194.6073,-56.5434
194.6073,194.8072,-56.847
194.8072,195.007,-56.6245
195.007,195.2069,-55.5124
195.2069,195.4067,-53.4697
195.4067,195.6066,-50.9191
195.6066,195.8064,-48.6109
195.8064,196.0062,-47.3281
196.0062,196.2061,-47.5549



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.1926
192.1,2.9473
192.3,3.2881
193.7,3.2877
194.1,4.0902
195.5,9.2515

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3623
191.8095,192.0094,-57.5745
192.0094,192.2092,-56.9677
192.2092,192.4091,-56.608
192.4091,192.6089,-56.5192
192.6089,192.8088,-56.6615
192.8088,193.0086,-56.9235
193.0086,193.2084,-57.143
193.2084,193.4083,-57.1611
193.4083,193.6081,-56.8961
193.6081,193.808,-56.405
193.808,194.0078,-55.8808
194.0078,194.2077,-55.5691
194.2077,194.4075,-55.6211
194.4075,194.6073,-55.9588
194.6073,194.8072,-56.2413
194.8072,195.007,-55.9851
195.007,195.2069,-54.8239
195.2069,195.4067,-52.7185
195.4067,195.6066,-50.1013
195.6066,195.8064,-47.7372
195.8064,196.0062,-46.4237
196.0062,196.2061,-46.6538



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.8135
192.1,3.1807
192.6,3.5622
193.1,2.9375
193.7,3.5963
193.9,4.1101
194.1,4.4197
194.2,4.4396
194.3,4.3645
194.8,3.7089
195,4.3421
195.3,7.1103
195.5,9.7378

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.1545
191.8095,192.0094,-57.3518
192.0094,192.2092,-56.7315
192.2092,192.4091,-56.3599
192.4091,192.6089,-56.2612
192.6089,192.8088,-56.3952
192.8088,193.0086,-56.6497
193.0086,193.2084,-56.8615
193.2084,193.4083,-56.8707
193.4083,193.6081,-56.5955
193.6081,193.808,-56.0932
193.808,194.0078,-55.5582
194.0078,194.2077,-55.237
194.2077,194.4075,-55.2808
194.4075,194.6073,-55.6099
194.6073,194.8072,-55.8797
194.8072,195.007,-55.6034
195.007,195.2069,-54.4128
195.2069,195.4067,-52.2699
195.4067,195.6066,-49.6128
195.6066,195.8064,-47.2152
195.8064,196.0062,-45.8833
196.0062,196.2061,-46.1155



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.4678
192.2,2.9847
192.5,3.1828
192.6,3.1227
192.7,3.0154
193.1,2.4662
193.4,2.4788
193.5,2.6231
193.9,3.5688
194,3.7537
194.1,3.862
195,3.6794
195.1,4.3375
195.2,5.2451
195.3,6.356
195.5,8.9147
195.6,10.1676

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5062
191.8095,192.0094,-57.7288
192.0094,192.2092,-57.1315
192.2092,192.4091,-56.78
192.4091,192.6089,-56.698
192.6089,192.8088,-56.8461
192.8088,193.0086,-57.1132
193.0086,193.2084,-57.3382
193.2084,193.4083,-57.3623
193.4083,193.6081,-57.1045
193.6081,193.808,-56.621
193.808,194.0078,-56.1043
194.0078,194.2077,-55.7993
194.2077,194.4075,-55.8569
194.4075,194.6073,-56.2007
194.6073,194.8072,-56.4919
194.8072,195.007,-56.2497
195.007,195.2069,-55.1088
195.2069,195.4067,-53.0293
195.4067,195.6066,-50.4397
195.6066,195.8064,-48.0988
195.8064,196.0062,-46.798
196.0062,196.2061,-47.0267



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0239
191.7,1.4337
191.8,1.8213
191.9,2.1761
192.4,3.1415
192.6,3.0794
192.7,2.9714
193.2,2.3558
193.7,3.0223
194,3.6995
194.3,3.7367
194.4,3.5736
195.2,5.1741
195.5,8.8336
195.7,11.1732

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5409
191.8095,192.0094,-57.7659
192.0094,192.2092,-57.171
192.2092,192.4091,-56.8214
192.4091,192.6089,-56.7411
192.6089,192.8088,-56.8905
192.8088,193.0086,-57.159
193.0086,193.2084,-57.3852
193.2084,193.4083,-57.4108
193.4083,193.6081,-57.1547
193.6081,193.808,-56.6731
193.808,194.0078,-56.1582
194.0078,194.2077,-55.8548
194.2077,194.4075,-55.9137
194.4075,194.6073,-56.259
194.6073,194.8072,-56.5522
194.8072,195.007,-56.3134
195.007,195.2069,-55.1774
195.2069,195.4067,-53.1042
195.4067,195.6066,-50.5212
195.6066,195.8064,-48.1859
195.8064,196.0062,-46.8882
196.0062,196.2061,-47.1166



//TRACE,Optical Spectrum,Input 1 (Run 10) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.5024
192,2.5639
192.1,2.8252
192.3,3.1598
192.4,3.2259
192.6,3.1668
192.7,3.0601
192.8,2.921
192.9,2.7693
193,2.6263
193.2,2.4509
193.4,2.5284
193.6,2.88
193.7,3.1263
194.1,3.9179
194.3,3.8503
194.6,3.2869
194.7,3.1536
195,3.7459
195.4,7.6889
195.5,8.9973
195.8,12.1823

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4709
191.8095,192.0094,-57.6909
192.0094,192.2092,-57.0914
192.2092,192.4091,-56.7378
192.4091,192.6089,-56.6542
192.6089,192.8088,-56.8008
192.8088,193.0086,-57.0667
193.0086,193.2084,-57.2904
193.2084,193.4083,-57.313
193.4083,193.6081,-57.0534
193.6081,193.808,-56.568
193.808,194.0078,-56.0495
194.0078,194.2077,-55.7429
194.2077,194.4075,-55.7991
194.4075,194.6073,-56.1414
194.6073,194.8072,-56.4304
194.8072,195.007,-56.1848
195.007,195.2069,-55.0389
195.2069,195.4067,-52.9531
195.4067,195.6066,-50.3568
195.6066,195.8064,-48.0101
195.8064,196.0062,-46.7062
196.0062,196.2061,-46.9353



//TRACE,Optical Spectrum,Input 1 (Run 11) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.2,3.2405
192.5,3.4553
192.7,3.2966
192.8,3.1608
193.3,2.7106
194.4,3.9951
195.5,9.4335

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.2845
191.8095,192.0094,-57.4911
192.0094,192.2092,-56.8793
192.2092,192.4091,-56.5151
192.4091,192.6089,-56.4226
192.6089,192.8088,-56.5618
192.8088,193.0086,-56.821
193.0086,193.2084,-57.0376
193.2084,193.4083,-57.0523
193.4083,193.6081,-56.7836
193.6081,193.808,-56.2883
