epoch,loss,mean_absolute_percentage_error,r_squared,val_loss,val_mean_absolute_percentage_error,val_r_squared
0,2.123436450958252,25252574.0,-7.3368754386901855,0.8148460984230042,17916628.0,-5.258721351623535
1,1.666574478149414,37735108.0,-5.745725631713867,0.8145682215690613,18818914.0,-5.251407623291016
2,1.4504776000976562,40387656.0,-4.746870040893555,0.9948605895042419,18223554.0,-6.737824440002441
3,1.2714489698410034,42682652.0,-3.9342284202575684,1.121019959449768,18171710.0,-7.769215106964111
4,1.1874103546142578,51147088.0,-3.7093873023986816,1.2783392667770386,17928574.0,-9.046064376831055
5,1.0935051441192627,51261872.0,-3.297917604446411,1.3141463994979858,18422978.0,-9.320638656616211
6,0.9759955406188965,50039304.0,-2.88368558883667,1.3365881443023682,18647208.0,-9.496445655822754
7,0.917339563369751,53386720.0,-2.6785926818847656,1.3608030080795288,18840438.0,-9.721982955932617
8,0.87215656042099,55392876.0,-2.451760768890381,1.3741143941879272,19047768.0,-9.851512908935547
9,0.8442524075508118,56925600.0,-2.3503522872924805,1.3700660467147827,19385998.0,-9.82223892211914
10,0.7959665656089783,56959828.0,-2.1384377479553223,1.3809709548950195,19448626.0,-9.919259071350098
11,0.7419534921646118,53417636.0,-1.9071240425109863,1.3651825189590454,19637874.0,-9.7924165725708
12,0.73674476146698,54479460.0,-1.9165955781936646,1.3100014925003052,20123864.0,-9.340242385864258
13,0.6973495483398438,55434632.0,-1.7846729755401611,1.3170053958892822,20107688.0,-9.410880088806152
14,0.7093796133995056,57752340.0,-1.7994567155838013,1.3236004114151,20138372.0,-9.47715950012207
15,0.6887354850769043,58804888.0,-1.7263069152832031,1.3056929111480713,20253900.0,-9.346461296081543
16,0.6742830276489258,58478816.0,-1.6520233154296875,1.3649555444717407,19791768.0,-9.84072494506836
17,0.6224039196968079,56023788.0,-1.4499691724777222,1.2908079624176025,20387270.0,-9.231240272521973
18,0.6392804384231567,57519384.0,-1.614133358001709,1.2574131488800049,20660814.0,-8.954978942871094
19,0.6344813108444214,59179120.0,-1.5307942628860474,1.2636061906814575,20502756.0,-9.007766723632812
20,0.6078145503997803,58325316.0,-1.3773798942565918,1.2454074621200562,20556588.0,-8.86715316772461
21,0.5925670862197876,57652168.0,-1.3668212890625,1.2540209293365479,20437422.0,-8.942307472229004
22,0.5867035984992981,59541624.0,-1.3346889019012451,1.2293965816497803,20506214.0,-8.755121231079102
23,0.5898582935333252,59191984.0,-1.3442963361740112,1.2305889129638672,20363216.0,-8.77348518371582
24,0.5676819682121277,58994716.0,-1.2564913034439087,1.1543046236038208,20872934.0,-8.154869079589844
25,0.5495639443397522,56646076.0,-1.1666334867477417,1.2137720584869385,20375546.0,-8.642921447753906
26,0.5550472140312195,59886212.0,-1.181878924369812,1.2145708799362183,20321434.0,-8.658470153808594
27,0.5289801955223083,57436644.0,-1.0830622911453247,1.1196459531784058,21035118.0,-7.891203880310059
28,0.5415032505989075,58572748.0,-1.1194536685943604,1.1145426034927368,20896434.0,-7.858048915863037
29,0.5178660154342651,60634588.0,-1.0747946500778198,1.109958291053772,20897500.0,-7.8244218826293945
30,0.5129237174987793,60181560.0,-1.0123411417007446,1.079564094543457,20991260.0,-7.573755264282227
31,0.5219448804855347,59102280.0,-1.083729863166809,1.062319278717041,21010212.0,-7.429752826690674
32,0.49039357900619507,58991840.0,-0.9879759550094604,1.0569690465927124,21039992.0,-7.388965606689453
33,0.5094838738441467,60175844.0,-1.014153242111206,1.0428214073181152,21037788.0,-7.279549598693848
34,0.49051007628440857,57797912.0,-0.9508732557296753,1.0613993406295776,20782432.0,-7.440264701843262
35,0.48796552419662476,59703472.0,-0.939660906791687,1.0197865962982178,21077252.0,-7.104572296142578
36,0.47386443614959717,57545324.0,-0.8629255294799805,1.0328720808029175,20899602.0,-7.215431213378906
37,0.4790911078453064,58708656.0,-0.9313533306121826,1.0057998895645142,21070452.0,-6.993701934814453
38,0.47331663966178894,61390464.0,-0.8585836887359619,0.9898479580879211,21087910.0,-6.86802864074707
39,0.4660966992378235,59404484.0,-0.9015334844589233,1.0013294219970703,20939194.0,-6.960644721984863
40,0.45527517795562744,57444264.0,-0.7973295450210571,0.9607049822807312,21102618.0,-6.629971027374268
41,0.45433104038238525,57648828.0,-0.7847278118133545,0.9781389832496643,20844970.0,-6.774580001831055
42,0.46164119243621826,60150576.0,-0.830810010433197,0.9074663519859314,21229566.0,-6.193065643310547
43,0.44146865606307983,59048332.0,-0.7291033864021301,0.9272462725639343,20987320.0,-6.352025032043457
44,0.4401213824748993,56351564.0,-0.7513294816017151,0.9005201458930969,21132482.0,-6.13906192779541
