epoch,loss,mean_absolute_percentage_error,r_squared,val_loss,val_mean_absolute_percentage_error,val_r_squared
0,1.541747808456421,35485340.0,-5.0301337242126465,1.6455320119857788,16370353.0,-6.8331379890441895
1,1.2063233852386475,45352360.0,-3.6560657024383545,1.4760527610778809,18832412.0,-6.013574600219727
2,1.0532039403915405,46490680.0,-3.016056537628174,1.4172008037567139,20308330.0,-5.728302001953125
3,0.9762279391288757,49372140.0,-2.789442777633667,1.4362459182739258,20833320.0,-5.81561803817749
4,0.8835493922233582,50801236.0,-2.348663091659546,1.4185407161712646,21666636.0,-5.730444431304932
5,0.8101310729980469,51818508.0,-2.083850383758545,1.4105002880096436,22233906.0,-5.690304756164551
6,0.779870867729187,52080916.0,-2.029778003692627,1.4289467334747314,22546396.0,-5.785275459289551
7,0.7151758670806885,52428872.0,-1.7514920234680176,1.4182000160217285,23067288.0,-5.735929489135742
8,0.7034779191017151,56522264.0,-1.662766933441162,1.3866912126541138,23752890.0,-5.5834808349609375
9,0.6604901552200317,54362432.0,-1.5053900480270386,1.3456916809082031,24343966.0,-5.391219139099121
10,0.6412081122398376,57206008.0,-1.440375804901123,1.3456556797027588,24483662.0,-5.399014472961426
11,0.6369368433952332,58823768.0,-1.4296034574508667,1.3577816486358643,24486462.0,-5.471027374267578
12,0.5845152735710144,55039632.0,-1.2367140054702759,1.3118011951446533,24891012.0,-5.254737377166748
13,0.5924364328384399,55974708.0,-1.2768181562423706,1.3239609003067017,24805162.0,-5.312224388122559
14,0.5701838135719299,56230968.0,-1.129499912261963,1.258354902267456,25283514.0,-4.998493671417236
15,0.5565756559371948,57086448.0,-1.1177705526351929,1.2774392366409302,24950422.0,-5.0916056632995605
16,0.5747520923614502,59907784.0,-1.2324033975601196,1.276599645614624,24903566.0,-5.09361457824707
17,0.5280959606170654,54818800.0,-0.9873936176300049,1.2488890886306763,25185940.0,-4.964916706085205
18,0.5343576669692993,58262624.0,-1.0770432949066162,1.2249226570129395,25282182.0,-4.846587181091309
19,0.5078039765357971,59712296.0,-0.9412352442741394,1.1871074438095093,25607658.0,-4.661374092102051
20,0.49557554721832275,57838600.0,-0.901070237159729,1.2345885038375854,25083468.0,-4.898743152618408
21,0.4918225109577179,56693148.0,-0.8949547410011292,1.221182942390442,25128356.0,-4.833484172821045
