epoch,loss,mean_absolute_percentage_error,r_squared,val_loss,val_mean_absolute_percentage_error,val_r_squared
0,2.685225009918213,30081282.0,-6.835039138793945,1.2485193014144897,20061944.0,-3.55829119682312
1,1.9819830656051636,44567912.0,-4.778492450714111,0.9589464068412781,24097314.0,-2.4097647666931152
2,1.6784486770629883,52781992.0,-4.029603481292725,1.0881271362304688,23669770.0,-2.955019950866699
3,1.4509093761444092,52176228.0,-3.328181266784668,1.2364412546157837,23634104.0,-3.5978446006774902
4,1.2761600017547607,53971236.0,-2.754075050354004,1.187292456626892,25108452.0,-3.4257571697235107
5,1.205387830734253,60351992.0,-2.7278683185577393,1.3208789825439453,24897298.0,-4.0026116371154785
6,1.0962802171707153,61038848.0,-2.25722336769104,1.3843168020248413,25100948.0,-4.2881855964660645
7,1.0459033250808716,63918292.0,-2.083756923675537,1.3812345266342163,25712228.0,-4.301372051239014
8,0.9696968197822571,63427600.0,-1.9286061525344849,1.3868073225021362,26060710.0,-4.343991756439209
9,0.9583491683006287,64987144.0,-1.8831760883331299,1.375014066696167,26418244.0,-4.312469005584717
10,0.9028736352920532,68358560.0,-1.6856956481933594,1.322454571723938,27025210.0,-4.113720417022705
11,0.8873030543327332,67294136.0,-1.6792534589767456,1.3512870073318481,26970324.0,-4.250583171844482
12,0.8366352915763855,69796064.0,-1.4612934589385986,1.3450299501419067,27088844.0,-4.240279197692871
13,0.7933467030525208,68366856.0,-1.3849055767059326,1.3674837350845337,26857932.0,-4.340531826019287
14,0.7939711213111877,68141984.0,-1.381453275680542,1.3079527616500854,27473184.0,-4.106398582458496
15,0.7744231820106506,70239936.0,-1.2822644710540771,1.3169344663619995,27437402.0,-4.155797004699707
16,0.734530508518219,65320784.0,-1.167984962463379,1.3301044702529907,27237944.0,-4.221586227416992
17,0.7281777858734131,69174552.0,-1.1434838771820068,1.2933790683746338,27469556.0,-4.076315402984619
18,0.713189423084259,69822128.0,-1.098556399345398,1.263206958770752,27636440.0,-3.9624037742614746
19,0.7200769782066345,70119600.0,-1.1532102823257446,1.256853461265564,27572876.0,-3.94619083404541
20,0.6811347603797913,67808168.0,-1.0217087268829346,1.308883547782898,27043152.0,-4.164690971374512
21,0.686747133731842,68242712.0,-1.038090467453003,1.2223191261291504,27656270.0,-3.8117105960845947
22,0.6723188161849976,69205280.0,-0.9873827695846558,1.2598905563354492,27208366.0,-3.9703214168548584
23,0.6471426486968994,68398840.0,-0.9312911629676819,1.1909476518630981,27704552.0,-3.690810203552246
24,0.6562485694885254,70385136.0,-0.9082978367805481,1.1926443576812744,27506702.0,-3.70906138420105
25,0.6225964426994324,67856216.0,-0.8378534913063049,1.2011717557907104,27333190.0,-3.753814220428467
26,0.619519054889679,69628128.0,-0.8592822551727295,1.217132568359375,27104758.0,-3.828396797180176
