//DATASET,
//created,Sat, 06 Feb 2021 20:41:30 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.4091,192.6089,-56.8242
192.6089,192.8088,-56.9763
192.8088,193.0086,-57.2472
193.0086,193.2084,-57.4759
193.2084,193.4083,-57.5044
193.4083,193.6081,-57.2516
193.6081,193.808,-56.7735
193.808,194.0078,-56.2621
194.0078,194.2077,-55.9618
194.2077,194.4075,-56.0234
194.4075,194.6073,-56.3714
194.6073,194.8072,-56.6687
194.8072,195.007,-56.4364
195.007,195.2069,-55.3098
195.2069,195.4067,-53.2487
195.4067,195.6066,-50.6785
195.6066,195.8064,-48.3539
195.8064,196.0062,-47.0621
196.0062,196.2061,-47.2898



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.2241
191.7,1.6419
191.8,2.0375
191.9,2.3999
192,2.7188
192.1,2.9847
192.3,3.3274
192.4,3.3971
192.6,3.3441
192.7,3.2402
192.8,3.1036
192.9,2.9543
193,2.8139
193.1,2.7037
193.2,2.6439
193.3,2.6491
193.4,2.7279
193.5,2.8767
193.7,3.3371
194,4.0307
194.1,4.143
194.2,4.1594
194.3,4.0809
194.4,3.9219
194.5,3.7216
194.6,3.5269
194.7,3.3982
194.8,3.4008
194.9,3.5925
195.3,6.736
195.4,8.0073
195.5,9.3294
195.6,10.598
195.7,11.7039

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.329
191.8095,192.0094,-57.5388
192.0094,192.2092,-56.9299
192.2092,192.4091,-56.5683
192.4091,192.6089,-56.4779
192.6089,192.8088,-56.6189
192.8088,193.0086,-56.8796
193.0086,193.2084,-57.098
193.2084,193.4083,-57.1145
193.4083,193.6081,-56.848
193.6081,193.808,-56.355
193.808,194.0078,-55.8291
194.0078,194.2077,-55.516
194.2077,194.4075,-55.5666
194.4075,194.6073,-55.903
194.6073,194.8072,-56.1834
194.8072,195.007,-55.9239
195.007,195.2069,-54.758
195.2069,195.4067,-52.6466
195.4067,195.6066,-50.0231
195.6066,195.8064,-47.6536
195.8064,196.0062,-46.3372
196.0062,196.2061,-46.5676



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.1628
191.7,1.5782
191.8,1.9713
192,2.648
192.1,2.9118
192.3,3.2508
192.4,3.3188
192.5,3.3209
192.6,3.2631
192.8,3.0201
192.9,2.8698
193,2.7282
193.2,2.5557
193.3,2.5595
193.4,2.6367
193.5,2.7839
193.6,2.9924
194,3.9293
194.1,4.0401
194.2,4.0552
194.3,3.9755
194.4,3.8153
194.5,3.6137
194.7,3.2864
194.8,3.2863
195,3.8911
195.2,5.4754
195.4,7.8618
195.5,9.1776
195.6,10.4405
195.7,11.5415

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3938
191.8095,192.0094,-57.6083
192.0094,192.2092,-57.0037
192.2092,192.4091,-56.6457
192.4091,192.6089,-56.5584
192.6089,192.8088,-56.702
192.8088,193.0086,-56.9651
193.0086,193.2084,-57.1859
193.2084,193.4083,-57.2052
193.4083,193.6081,-56.9419
193.6081,193.808,-56.4524
193.808,194.0078,-55.9298
194.0078,194.2077,-55.6196
194.2077,194.4075,-55.6728
194.4075,194.6073,-56.0119
194.6073,194.8072,-56.2962
194.8072,195.007,-56.0431
195.007,195.2069,-54.8864
195.2069,195.4067,-52.7867
195.4067,195.6066,-50.1755
195.6066,195.8064,-47.8165
195.8064,196.0062,-46.5058
196.0062,196.2061,-46.7356



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.3471
192.4,2.5809
192.9,2.0722
193,1.9198
193.2,1.7238
193.3,1.7142
193.6,2.1005
193.9,2.8003
194.7,2.2322
195.3,5.285
195.4,6.4895
195.5,7.7461
195.8,10.8124

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.0062
191.8095,192.0094,-58.2646
192.0094,192.2092,-57.7001
192.2092,192.4091,-57.3771
192.4091,192.6089,-57.3189
192.6089,192.8088,-57.487
192.8088,193.0086,-57.7723
193.0086,193.2084,-58.016
193.2084,193.4083,-58.0615
193.4083,193.6081,-57.8282
193.6081,193.808,-57.3714
193.808,194.0078,-56.8807
194.0078,194.2077,-56.5986
194.2077,194.4075,-56.676
194.4075,194.6073,-57.0408
194.6073,194.8072,-57.3624
194.8072,195.007,-57.1687
195.007,195.2069,-56.0982
195.2069,195.4067,-54.1086
195.4067,195.6066,-51.6144
195.6066,195.8064,-49.3537
195.8064,196.0062,-48.097
196.0062,196.2061,-48.3208



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.3,2.7492
192.8,2.4739
194.1,3.3668
195.5,8.1839

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.8188
191.8095,192.0094,-58.0638
192.0094,192.2092,-57.487
192.2092,192.4091,-57.1533
192.4091,192.6089,-57.0862
192.6089,192.8088,-57.2468
192.8088,193.0086,-57.5253
193.0086,193.2084,-57.7619
193.2084,193.4083,-57.7994
193.4083,193.6081,-57.5569
193.6081,193.808,-57.0901
193.808,194.0078,-56.5897
194.0078,194.2077,-56.299
194.2077,194.4075,-56.3689
194.4075,194.6073,-56.7259
194.6073,194.8072,-57.036
194.8072,195.007,-56.8241
195.007,195.2069,-55.7273
195.2069,195.4067,-53.7041
195.4067,195.6066,-51.1742
195.6066,195.8064,-48.8835
195.8064,196.0062,-47.6103
196.0062,196.2061,-47.8359



//TRACE,Optical Spectrum,Input 1 (Run 10) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,2.4104
192.3,3.7591
192.4,3.838
192.5,3.8498
192.6,3.8009
192.9,3.4308
193.5,3.3997
194.1,4.7225
194.6,4.1448
194.8,4.046
195.5,10.1846

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.9638
191.8095,192.0094,-57.1473
192.0094,192.2092,-56.5144
192.2092,192.4091,-56.132
192.4091,192.6089,-56.0242
192.6089,192.8088,-56.1506
192.8088,193.0086,-56.3982
193.0086,193.2084,-56.6029
193.2084,193.4083,-56.6039
193.4083,193.6081,-56.3194
193.6081,193.808,-55.8069
193.808,194.0078,-55.2619
194.0078,194.2077,-54.932
194.2077,194.4075,-54.9682
194.4075,194.6073,-55.2893
194.6073,194.8072,-55.5476
194.8072,195.007,-55.2528
195.007,195.2069,-54.0352
195.2069,195.4067,-51.8577
195.4067,195.6066,-49.164
195.6066,195.8064,-46.7356
195.8064,196.0062,-45.3868
196.0062,196.2061,-45.6209



//TRACE,Optical Spectrum,Input 1 (Run 11) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3649
191.8,1.7499
192,2.4113
192.1,2.668
192.3,2.9945
192.6,2.9919
192.7,2.8826
192.8,2.7409
192.9,2.5868
193,2.4414
193.3,2.2596
193.4,2.3317
193.5,2.4733
193.7,2.9184
193.8,3.1733
193.9,3.4077
194,3.5901
194.2,3.7067
194.4,3.4586
194.5,3.2523
194.8,2.9032
195,3.4823
195.3,6.1315
195.4,7.375
195.5,8.6698
195.6,9.9133
195.8,11.8237

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6109
191.8095,192.0094,-57.841
192.0094,192.2092,-57.2506
192.2092,192.4091,-56.905
192.4091,192.6089,-56.8281
192.6089,192.8088,-56.9803
192.8088,193.0086,-57.2513
193.0086,193.2084,-57.4802
193.2084,193.4083,-57.5088
193.4083,193.6081,-57.2561
193.6081,193.808,-56.7782
193.808,194.0078,-56.2669
194.0078,194.2077,-55.9667
194.2077,194.4075,-56.0285
194.4075,194.6073,-56.3767
194.6073,194.8072,-56.6742
194.8072,195.007,-56.4421
195.007,195.2069,-55.316
195.2069,195.4067,-53.2554
195.4067,195.6066,-50.6858
195.6066,195.8064,-48.3617
195.8064,196.0062,-47.0702
196.0062,196.2061,-47.2979



//TRACE,Optical Spectrum,Input 1 (Run 12) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.4374
193,2.5389
193.6,2.7835
195.1,4.2769
195.5,8.8424

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5371
191.8095,192.0094,-57.7619
192.0094,192.2092,-57.1666
192.2092,192.4091,-56.8169
192.4091,192.6089,-56.7364
192.6089,192.8088,-56.8857
192.8088,193.0086,-57.154
193.0086,193.2084,-57.3801
193.2084,193.4083,-57.4055
193.4083,193.6081,-57.1492
193.6081,193.808,-56.6674
193.808,194.0078,-56.1523
194.0078,194.2077,-55.8487
