//DATASET,
//created,Mon, 15 Feb 2021 22:38:43 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6097,191.8095,-59.8357
191.8095,192.0094,-59.1535
192.0094,192.2092,-58.6432
192.2092,192.4091,-58.3672
192.4091,192.6089,-58.3486
192.6089,192.8088,-58.5501
192.8088,193.0086,-58.8658
193.0086,193.2084,-59.1408
193.2084,193.4083,-59.2218
193.4083,193.6081,-59.0293
193.6081,193.808,-58.6165
193.808,194.0078,-58.1688
194.0078,194.2077,-57.9245
194.2077,194.4075,-58.0347
194.4075,194.6073,-58.4348
194.6073,194.8072,-58.8074
194.8072,195.007,-58.6943
195.007,195.2069,-57.74
195.2069,195.4067,-55.8979
195.4067,195.6066,-53.5606
195.6066,195.8064,-51.432
195.8064,196.0062,-50.248
196.0062,196.2061,-50.4637



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3291
191.8,1.7127
192.1,2.6271
192.2,2.822
192.8,2.6941
192.9,2.5393
193,2.3933
193.1,2.2772
193.2,2.2111
194,3.5331
194.5,3.1917
194.8,2.8389
195.2,4.9561
195.5,8.5846
195.8,11.7305

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6474
191.8095,192.0094,-57.8801
192.0094,192.2092,-57.2921
192.2092,192.4091,-56.9486
192.4091,192.6089,-56.8733
192.6089,192.8088,-57.027
192.8088,193.0086,-57.2993
193.0086,193.2084,-57.5295
193.2084,193.4083,-57.5597
193.4083,193.6081,-57.3088
193.6081,193.808,-56.8329
193.808,194.0078,-56.3235
194.0078,194.2077,-56.025
194.2077,194.4075,-56.0882
194.4075,194.6073,-56.4379
194.6073,194.8072,-56.7376
194.8072,195.007,-56.5091
195.007,195.2069,-55.3881
195.2069,195.4067,-53.3341
195.4067,195.6066,-50.7715
195.6066,195.8064,-48.4532
195.8064,196.0062,-47.1649
196.0062,196.2061,-47.3923



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192,3.0663
192.2,3.5566
192.7,3.6443
193,3.2348
193.1,3.1305
193.2,3.0771
193.4,3.1756
193.7,3.8102
193.8,4.0815
194,4.5287
194.3,4.5984
194.6,4.0654
195.3,7.4191
195.5,10.0747

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.0107
191.8095,192.0094,-57.1976
192.0094,192.2092,-56.5678
192.2092,192.4091,-56.188
192.4091,192.6089,-56.0825
192.6089,192.8088,-56.2107
192.8088,193.0086,-56.46
193.0086,193.2084,-56.6665
193.2084,193.4083,-56.6695
193.4083,193.6081,-56.3873
193.6081,193.808,-55.8773
193.808,194.0078,-55.3347
194.0078,194.2077,-55.007
194.2077,194.4075,-55.0451
194.4075,194.6073,-55.3682
194.6073,194.8072,-55.6293
194.8072,195.007,-55.339
195.007,195.2069,-54.128
195.2069,195.4067,-51.9591
195.4067,195.6066,-49.2744
195.6066,195.8064,-46.8536
195.8064,196.0062,-45.5089
196.0062,196.2061,-45.7425



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0374
191.7,1.4477
191.8,1.8358
192,2.5031
192.2,2.9612
192.3,3.094
192.4,3.1587
192.5,3.1577
192.6,3.0971
192.7,2.9894
192.8,2.8493
192.9,2.6966
193.1,2.4388
193.2,2.3752
193.3,2.376
193.4,2.4501
193.5,2.5938
193.6,2.7988
193.7,3.0435
193.8,3.3007
193.9,3.5374
194,3.7217
194.1,3.8296
194.2,3.842
194.3,3.7598
194.4,3.597
194.5,3.3926
