//DATASET,
//created,Tue, 02 Feb 2021 19:02:18 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
194.5,3.3817
194.7,3.0464
194.8,3.0404
194.9,3.2212
195,3.6287
195.1,4.2847
195.2,5.1899
195.3,6.2982
195.4,7.5493
195.5,8.8517
195.6,10.1021
195.7,11.1926
195.8,12.0229

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5332
191.8095,192.0094,-57.7576
192.0094,192.2092,-57.1622
192.2092,192.4091,-56.8122
192.4091,192.6089,-56.7315
192.6089,192.8088,-56.8806
192.8088,193.0086,-57.1488
193.0086,193.2084,-57.3747
193.2084,193.4083,-57.4
193.4083,193.6081,-57.1435
193.6081,193.808,-56.6615
193.808,194.0078,-56.1462
194.0078,194.2077,-55.8424
194.2077,194.4075,-55.9011
194.4075,194.6073,-56.246
194.6073,194.8072,-56.5388
194.8072,195.007,-56.2992
195.007,195.2069,-55.1621
195.2069,195.4067,-53.0875
195.4067,195.6066,-50.5031
195.6066,195.8064,-48.1665
195.8064,196.0062,-46.8681
196.0062,196.2061,-47.0965



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.5565
191.9,2.3081
192.2,3.0889
192.3,3.2247
192.6,3.2355
192.8,2.9917
193.1,2.5872
193.4,2.6057
193.7,3.2079
194.2,4.0197
194.3,3.9396
194.5,3.5769
195.5,9.1259
195.6,10.3868

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4159
191.8095,192.0094,-57.632
192.0094,192.2092,-57.0288
192.2092,192.4091,-56.6721
192.4091,192.6089,-56.5859
192.6089,192.8088,-56.7303
192.8088,193.0086,-56.9942
193.0086,193.2084,-57.2158
193.2084,193.4083,-57.2361
193.4083,193.6081,-56.9738
193.6081,193.808,-56.4855
193.808,194.0078,-55.9641
194.0078,194.2077,-55.655
194.2077,194.4075,-55.709
194.4075,194.6073,-56.049
194.6073,194.8072,-56.3347
194.8072,195.007,-56.0837
195.007,195.2069,-54.9301
195.2069,195.4067,-52.8344
195.4067,195.6066,-50.2275
195.6066,195.8064,-47.872
195.8064,196.0062,-46.5633
196.0062,196.2061,-46.7929



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//Parameterized
#Frequency,Power
