//DATASET,
//created,Wed, 24 Feb 2021 22:09:43 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.658
191.8095,192.0094,-60.0343
192.0094,192.2092,-59.5776
192.2092,192.4091,-59.3483
192.4091,192.6089,-59.369
192.6089,192.8088,-59.6038
192.8088,193.0086,-59.95
193.0086,193.2084,-60.2565
193.2084,193.4083,-60.373
193.4083,193.6081,-60.2209
193.6081,193.808,-59.8514
193.808,194.0078,-59.446
194.0078,194.2077,-59.2392
194.2077,194.4075,-59.3823
194.4075,194.6073,-59.8179
194.6073,194.8072,-60.2421
194.8072,195.007,-60.2092
195.007,195.2069,-59.369
195.2069,195.4067,-57.6711
195.4067,195.6066,-55.487
195.6066,195.8064,-53.4877
195.8064,196.0062,-52.375
196.0062,196.2061,-52.5829

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,-0.9671
191.7,-0.6378
191.8,-0.3291
192,0.1884
192.1,0.379
192.2,0.5136
192.3,0.5877
192.5,0.5498
192.6,0.4456
193,-0.2511
193.5,-0.4426
193.6,-0.2947
193.7,-0.1083
193.8,0.091
194.2,0.4347
194.7,-0.5989
194.8,-0.694
195.1,0.1364
195.4,2.8041
195.5,3.9019
195.7,5.8942

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.7649
191.8095,192.0094,-60.1487
192.0094,192.2092,-59.6989
192.2092,192.4091,-59.4757
192.4091,192.6089,-59.5016
192.6089,192.8088,-59.7407
192.8088,193.0086,-60.0909
193.0086,193.2084,-60.4015
193.2084,193.4083,-60.5226
193.4083,193.6081,-60.3758
193.6081,193.808,-60.0119
193.808,194.0078,-59.612
194.0078,194.2077,-59.41
194.2077,194.4075,-59.5574
194.4075,194.6073,-59.9978
194.6073,194.8072,-60.4287
194.8072,195.007,-60.4063
195.007,195.2069,-59.5809
195.2069,195.4067,-57.9015
195.4067,195.6066,-55.7371
195.6066,195.8064,-53.7545
195.8064,196.0062,-52.6509
196.0062,196.2061,-52.8578

//Parameterized
#Frequency,Power
#(THz),(dBm)
192.3,0.4627
192.4,0.4714
192.6,0.3133
193,-0.3909
193.1,-0.546
193.7,-0.2655
193.8,-0.0691
194,0.2393
194.6,-0.5734
195.4,2.5667
195.6,4.7069

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.5182
191.8095,192.0094,-59.8846
192.0094,192.2092,-59.4187
192.2092,192.4091,-59.1815
192.4091,192.6089,-59.1956
192.6089,192.8088,-59.4247
192.8088,193.0086,-59.7656
193.0086,193.2084,-60.0667
193.2084,193.4083,-60.1771
193.4083,193.6081,-60.0182
193.6081,193.808,-59.6413
193.808,194.0078,-59.2288
194.0078,194.2077,-59.0156
194.2077,194.4075,-59.1531
194.4075,194.6073,-59.5826
194.6073,194.8072,-59.9979
194.8072,195.007,-59.9513
195.007,195.2069,-59.0919
195.2069,195.4067,-57.3696
195.4067,195.6066,-55.1596
195.6066,195.8064,-53.1385
195.8064,196.0062,-52.0137
196.0062,196.2061,-52.2229

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,-0.1877
192.4,0.7662
192.8,0.298
192.9,0.1109
193.4,-0.3374
193.6,-0.0926
194,0.6213
194.4,0.337
194.7,-0.3601
194.9,-0.3741
195.6,5.3005

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-61.1743
191.8095,192.0094,-60.5873
192.0094,192.2092,-60.1641
192.2092,192.4091,-59.9641
192.4091,192.6089,-60.0096
192.6089,192.8088,-60.2655
192.8088,193.0086,-60.6311
193.0086,193.2084,-60.9576
193.2084,193.4083,-61.0966
193.4083,193.6081,-60.9699
193.6081,193.808,-60.6275
193.808,194.0078,-60.2484
194.0078,194.2077,-60.0651
194.2077,194.4075,-60.229
194.4075,194.6073,-60.6876
194.6073,194.8072,-61.1447
194.8072,195.007,-61.1625
195.007,195.2069,-60.3936
195.2069,195.4067,-58.7849
195.4067,195.6066,-56.6954
195.6066,195.8064,-54.7762
195.8064,196.0062,-53.7077
196.0062,196.2061,-53.9108

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,-1.4498
191.7,-1.14
192,-0.369
192.1,-0.1949
192.2,-0.0757
192.3,-0.0158
192.4,-0.0172
192.5,-0.078
192.7,-0.3504
192.8,-0.5374
192.9,-0.7358
193.1,-1.0887
193.3,-1.2616
193.6,-1.0394
193.8,-0.6818
194.1,-0.3448
194.3,-0.5178
194.4,-0.7306
194.5,-0.9908
194.7,-1.4792
194.9,-1.5553
195.5,2.7065
195.6,3.723
195.7,4.6146
195.8,5.2948
195.9,5.7011

//TRACE,Optical Spectrum,Input 1 (Run 5) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.8336
191.8095,192.0094,-60.2224
192.0094,192.2092,-59.7771
192.2092,192.4091,-59.5577
192.4091,192.6089,-59.5869
192.6089,192.8088,-59.8289
192.8088,193.0086,-60.1816
193.0086,193.2084,-60.4949
193.2084,193.4083,-60.619
193.4083,193.6081,-60.4755
193.6081,193.808,-60.1153
193.808,194.0078,-59.7189
194.0078,194.2077,-59.52
194.2077,194.4075,-59.6702
194.4075,194.6073,-60.1136
194.6073,194.8072,-60.5489
194.8072,195.007,-60.5332
195.007,195.2069,-59.7173
195.2069,195.4067,-58.0499
195.4067,195.6066,-55.8981
195.6066,195.8064,-53.9261
195.8064,196.0062,-52.8285
196.0062,196.2061,-53.0347

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,-1.1314
191.7,-0.8088
191.8,-0.5065
191.9,-0.2342
192,-0.0014
192.1,0.1836
192.2,0.3129
192.3,0.3822
192.4,0.3892
192.5,0.3361
192.6,0.2282
192.7,0.0771
192.8,-0.104
192.9,-0.2965
193,-0.4809
193.1,-0.6372
193.2,-0.7468
193.3,-0.7961
193.4,-0.7766
193.5,-0.6914
193.6,-0.5482
193.8,-0.1721
193.9,0.0044
194,0.1328
194.1,0.1894
194.2,0.1554
194.3,0.0297
194.4,-0.1767
194.5,-0.4298
194.6,-0.6886
194.7,-0.8986
194.8,-1.001
194.9,-0.9424
195,-0.6842
195.1,-0.2047
195.2,0.499
195.3,1.3888
195.5,3.4949
195.6,4.5415
195.7,5.4586
195.8,6.158
195.9,6.576



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.9945
191.8095,192.0094,-60.3947
192.0094,192.2092,-59.9598
192.2092,192.4091,-59.7496
192.4091,192.6089,-59.7864
192.6089,192.8088,-60.035
192.8088,193.0086,-60.3938
193.0086,193.2084,-60.7133
193.2084,193.4083,-60.8444
193.4083,193.6081,-60.7089
193.6081,193.808,-60.3571
193.808,194.0078,-59.9688
194.0078,194.2077,-59.7773
194.2077,194.4075,-59.934
194.4075,194.6073,-60.3845
194.6073,194.8072,-60.83
194.8072,195.007,-60.8302
195.007,195.2069,-60.0365
195.2069,195.4067,-58.3968
195.4067,195.6066,-56.2745
195.6066,195.8064,-54.3276
195.8064,196.0062,-53.2437
196.0062,196.2061,-53.4484

//Parameterized
#Frequency,Power
#(THz),(dBm)
192.2,0.1294
192.7,-0.1248
193,-0.6912
193.1,-0.8505
193.3,-1.016
193.4,-1.0003
193.5,-0.9192
193.6,-0.7802
193.9,-0.2405
194,-0.116
194.2,-0.1002
194.3,-0.2289
194.5,-0.6948
194.6,-0.9576
