//DATASET,
//created,Wed, 24 Feb 2021 21:53:53 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-61.1365
191.8095,192.0094,-60.5468
192.0094,192.2092,-60.1211
192.2092,192.4091,-59.919
192.4091,192.6089,-59.9627
192.6089,192.8088,-60.217
192.8088,193.0086,-60.5812
193.0086,193.2084,-60.9062
193.2084,193.4083,-61.0436
193.4083,193.6081,-60.915
193.6081,193.808,-60.5706
193.808,194.0078,-60.1897
194.0078,194.2077,-60.0046
194.2077,194.4075,-60.167
194.4075,194.6073,-60.6239
194.6073,194.8072,-61.0785
194.8072,195.007,-61.0926
195.007,195.2069,-60.3185
195.2069,195.4067,-58.7033
195.4067,195.6066,-56.6069
195.6066,195.8064,-54.6819
195.8064,196.0062,-53.6102
196.0062,196.2061,-53.8136

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,-0.8122
191.9,-0.5507
192.3,0.0284
192.8,-0.4894
193.2,-1.1542
193.5,-1.1202
193.8,-0.6253
194.2,-0.3257
194.6,-1.195
194.7,-1.4149
195.3,0.7463
195.4,1.7419
195.6,3.8138
195.9,5.7981

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.9132
191.8095,192.0094,-59.2365
192.0094,192.2092,-58.7312
192.2092,192.4091,-58.4597
192.4091,192.6089,-58.4448
192.6089,192.8088,-58.6494
192.8088,193.0086,-58.9679
193.0086,193.2084,-59.2459
193.2084,193.4083,-59.3302
193.4083,193.6081,-59.1415
193.6081,193.808,-58.7328
193.808,194.0078,-58.2891
194.0078,194.2077,-58.0484
194.2077,194.4075,-58.1617
194.4075,194.6073,-58.5651
194.6073,194.8072,-58.9425
194.8072,195.007,-58.8369
195.007,195.2069,-57.8934
195.2069,195.4067,-56.065
195.4067,195.6066,-53.7422
195.6066,195.8064,-51.6259
195.8064,196.0062,-50.4487
196.0062,196.2061,-50.6637

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.9,0.7306
192.1,1.2095
193.3,0.4658
194.5,1.0907

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.1638
191.8095,192.0094,-59.5049
192.0094,192.2092,-59.016
192.2092,192.4091,-58.7587
192.4091,192.6089,-58.7557
192.6089,192.8088,-58.9705
192.8088,193.0086,-59.2983
193.0086,193.2084,-59.5858
193.2084,193.4083,-59.6809
193.4083,193.6081,-59.5045
193.6081,193.808,-59.109
193.808,194.0078,-58.6782
194.0078,194.2077,-58.4489
194.2077,194.4075,-58.5722
194.4075,194.6073,-58.9864
194.6073,194.8072,-59.3794
194.8072,195.007,-59.2982
195.007,195.2069,-58.3896
195.2069,195.4067,-56.6053
195.4067,195.6066,-54.3294
195.6066,195.8064,-52.2526
195.8064,196.0062,-51.0972
196.0062,196.2061,-51.3098

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,0.1712
191.9,0.4675
192.9,0.5695
193.1,0.2528
193.2,0.1565
193.9,1.0266
194.4,0.9152
194.7,0.2461
194.8,0.1717
195.4,3.904

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.3963
191.8095,192.0094,-59.7539
192.0094,192.2092,-59.2802
192.2092,192.4091,-59.036
192.4091,192.6089,-59.0442
192.6089,192.8088,-59.2684
192.8088,193.0086,-59.6048
193.0086,193.2084,-59.9012
193.2084,193.4083,-60.0064
193.4083,193.6081,-59.8414
193.6081,193.808,-59.4582
193.808,194.0078,-59.0393
194.0078,194.2077,-58.8206
194.2077,194.4075,-58.9532
194.4075,194.6073,-59.3774
194.6073,194.8072,-59.785
194.8072,195.007,-59.7265
195.007,195.2069,-58.8502
195.2069,195.4067,-57.1066
195.4067,195.6066,-54.874
195.6066,195.8064,-52.8338
195.8064,196.0062,-51.6985
196.0062,196.2061,-51.9088

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,-0.722
191.8,-0.0643
192,0.4715
192.2,0.8129
192.3,0.8942
192.4,0.9121
192.5,0.8688
192.6,0.7699
192.7,0.6269
192.8,0.4536
193,0.0919
193.1,-0.0565
193.2,-0.1574
193.5,-0.0712
193.6,0.0837
193.9,0.6715
194,0.8104
194.1,0.8767
194.2,0.8515
194.3,0.734
194.4,0.5358
194.5,0.2919
194.7,-0.1516
194.8,-0.2358
195.2,1.3872
195.4,3.3863
195.6,5.5944

//TRACE,Optical Spectrum,Input 1 (Run 5) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.7962
191.8095,192.0094,-60.1822
192.0094,192.2092,-59.7345
192.2092,192.4091,-59.513
192.4091,192.6089,-59.5404
192.6089,192.8088,-59.7808
192.8088,193.0086,-60.1322
193.0086,193.2084,-60.444
193.2084,193.4083,-60.5665
