//DATASET,
//created,Sat, 20 Feb 2021 20:43:12 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6939
191.8095,192.0094,-57.9299
192.0094,192.2092,-57.3449
192.2092,192.4091,-57.0041
192.4091,192.6089,-56.9311
192.6089,192.8088,-57.0866
192.8088,193.0086,-57.3606
193.0086,193.2084,-57.5926
193.2084,193.4083,-57.6247
193.4083,193.6081,-57.3761
193.6081,193.808,-56.9026
193.808,194.0078,-56.3957
194.0078,194.2077,-56.0993
194.2077,194.4075,-56.1643
194.4075,194.6073,-56.516
194.6073,194.8072,-56.8185
194.8072,195.007,-56.5945
195.007,195.2069,-55.4801
195.2069,195.4067,-53.4344
195.4067,195.6066,-50.8807
195.6066,195.8064,-48.5699
195.8064,196.0062,-47.2857
196.0062,196.2061,-47.5126

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.6654
192.4,2.9571
192.6,2.8883
192.7,2.7775
192.9,2.4788
193,2.3319
193.2,2.1479
193.3,2.1451
194,3.4605
194.1,3.5647
194.2,3.5737
194.5,3.1144
194.6,2.9102
194.8,2.7569
194.9,2.9292
195.1,3.9698
195.5,8.4759
195.6,9.7121
195.7,10.7904

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.673
191.8095,192.0094,-57.9075
192.0094,192.2092,-57.3211
192.2092,192.4091,-56.9791
192.4091,192.6089,-56.9051
192.6089,192.8088,-57.0598
192.8088,193.0086,-57.333
193.0086,193.2084,-57.5642
193.2084,193.4083,-57.5955
193.4083,193.6081,-57.3458
193.6081,193.808,-56.8712
193.808,194.0078,-56.3632
194.0078,194.2077,-56.0659
194.2077,194.4075,-56.1301
194.4075,194.6073,-56.4808
194.6073,194.8072,-56.7821
194.8072,195.007,-56.5561
195.007,195.2069,-55.4387
195.2069,195.4067,-53.3893
195.4067,195.6066,-50.8316
195.6066,195.8064,-48.5174
195.8064,196.0062,-47.2314
196.0062,196.2061,-47.4585

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8992
191.9,2.0367
192,2.3437
192.5,2.978
192.6,2.9144
193,2.3595
193.2,2.1763
193.5,2.3846
193.9,3.3124
194.3,3.5223
194.5,3.1492
194.8,2.7938
194.9,2.9671
195,3.3655
195.4,7.236
195.5,8.5248
195.8,11.665

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4959
191.8095,192.0094,-57.7177
192.0094,192.2092,-57.1198
192.2092,192.4091,-56.7677
