//DATASET,
//created,Sat, 06 Feb 2021 17:31:19 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
195.007,195.2069,-56.1012
195.2069,195.4067,-54.1119
195.4067,195.6066,-51.618
195.6066,195.8064,-49.3575
195.8064,196.0062,-48.101
196.0062,196.2061,-48.3248



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.2764
191.8,1.658
191.9,2.007
192.1,2.5668
192.2,2.7601
192.5,2.9435
192.6,2.8793
192.8,2.6251
192.9,2.4694
193.2,2.1382
193.4,2.2051
193.5,2.3444
193.6,2.5447
193.7,2.7846
193.8,3.0371
194,3.4493
194.1,3.5532
194.2,3.5621
194.3,3.4766
194.4,3.3105
194.5,3.1024
194.6,2.8981
194.8,2.7442
194.9,2.9161
195.2,4.8462
195.5,8.4591
195.6,9.6946
195.7,10.7723
195.8,11.593

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7011
191.8095,192.0094,-57.9376
192.0094,192.2092,-57.3531
192.2092,192.4091,-57.0127
192.4091,192.6089,-56.94
192.6089,192.8088,-57.0959
192.8088,193.0086,-57.3701
193.0086,193.2084,-57.6023
193.2084,193.4083,-57.6348
193.4083,193.6081,-57.3865
193.6081,193.808,-56.9134
193.808,194.0078,-56.4069
194.0078,194.2077,-56.1108
194.2077,194.4075,-56.1761
194.4075,194.6073,-56.5281
194.6073,194.8072,-56.8311
194.8072,195.007,-56.6078
195.007,195.2069,-55.4943
195.2069,195.4067,-53.45
195.4067,195.6066,-50.8976
195.6066,195.8064,-48.588
195.8064,196.0062,-47.3044
196.0062,196.2061,-47.5313



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.4247
191.9,2.1665
192,2.4777
192.1,2.7364
192.3,3.0664
192.7,2.9598
192.8,2.8193
192.9,2.6662
193.1,2.4076
193.2,2.3434
193.3,2.3437
193.5,2.5604
193.6,2.7647
194,3.6852
194.2,3.8045
194.3,3.7218
194.5,3.3537
194.6,3.1532
194.8,3.0106
195.3,6.2621
195.5,8.8122
195.6,10.0612
195.7,11.1504

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.55
191.8095,192.0094,-57.7757
192.0094,192.2092,-57.1813
192.2092,192.4091,-56.8323
192.4091,192.6089,-56.7524
192.6089,192.8088,-56.9022
192.8088,193.0086,-57.171
193.0086,193.2084,-57.3976
193.2084,193.4083,-57.4236
193.4083,193.6081,-57.1679
193.6081,193.808,-56.6868
193.808,194.0078,-56.1724
194.0078,194.2077,-55.8694
194.2077,194.4075,-55.9287
194.4075,194.6073,-56.2743
194.6073,194.8072,-56.5681
194.8072,195.007,-56.3302
195.007,195.2069,-55.1955
195.2069,195.4067,-53.1239
195.4067,195.6066,-50.5427
195.6066,195.8064,-48.2088
195.8064,196.0062,-46.9119
196.0062,196.2061,-47.1402



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.9,2.0439
192.4,2.9905
193,2.3685
193.8,3.0898
194.9,2.9795
195.4,7.2512
195.5,8.5407

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6662
191.8095,192.0094,-57.9002
192.0094,192.2092,-57.3134
192.2092,192.4091,-56.971
192.4091,192.6089,-56.8967
192.6089,192.8088,-57.0511
192.8088,193.0086,-57.3241
193.0086,193.2084,-57.555
193.2084,193.4083,-57.586
193.4083,193.6081,-57.336
193.6081,193.808,-56.8611
193.808,194.0078,-56.3527
194.0078,194.2077,-56.055
194.2077,194.4075,-56.1189
194.4075,194.6073,-56.4694
194.6073,194.8072,-56.7703
194.8072,195.007,-56.5436
195.007,195.2069,-55.4253
195.2069,195.4067,-53.3746
195.4067,195.6066,-50.8156
195.6066,195.8064,-48.5004
195.8064,196.0062,-47.2137
196.0062,196.2061,-47.4409



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8377
191.9,1.9678
192,2.2725
192.3,2.8443
192.4,2.9037
192.8,2.5774
193,2.2734
193.1,2.1556
193.2,2.0877
193.4,2.153
193.6,2.4906
193.7,2.7295
193.8,2.981
193.9,3.2121
194.4,3.2495
194.5,3.0406
194.6,2.8353
194.9,2.8486
195,3.2427
195.4,7.0897
195.5,8.3722
195.7,10.6794
195.8,11.498

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7382
191.8095,192.0094,-57.9774
192.0094,192.2092,-57.3954
192.2092,192.4091,-57.057
192.4091,192.6089,-56.9861
192.6089,192.8088,-57.1435
192.8088,193.0086,-57.4191
193.0086,193.2084,-57.6527
193.2084,193.4083,-57.6867
193.4083,193.6081,-57.4403
193.6081,193.808,-56.9692
193.808,194.0078,-56.4646
194.0078,194.2077,-56.1702
194.2077,194.4075,-56.237
194.4075,194.6073,-56.5905
194.6073,194.8072,-56.8958
194.8072,195.007,-56.676
195.007,195.2069,-55.5679
195.2069,195.4067,-53.5302
195.4067,195.6066,-50.9849
195.6066,195.8064,-48.6813
195.8064,196.0062,-47.4009
196.0062,196.2061,-47.6274



//TRACE,Optical Spectrum,Input 1 (Run 10) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0589
191.7,1.4701
191.8,1.8591
191.9,2.2153
192,2.5281
192.1,2.7883
192.2,2.9875
192.3,3.1209
192.4,3.1862
192.5,3.1858
192.6,3.1257
193,2.5829
193.1,2.4694
193.2,2.4062
193.3,2.4075
193.4,2.4822
193.6,2.832
193.8,3.3353
193.9,3.5725
194,3.7574
194.1,3.8658
194.2,3.8787
194.3,3.7969
194.4,3.6346
194.5,3.4306
194.6,3.2313
194.7,3.097
194.9,3.2746
195.1,4.3422
195.2,5.2501
195.3,6.3611
195.4,7.6152
195.5,8.9203
195.7,11.2661
195.8,12.098

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5038
191.8095,192.0094,-57.7262
192.0094,192.2092,-57.1288
192.2092,192.4091,-56.7771
192.4091,192.6089,-56.695
192.6089,192.8088,-56.843
192.8088,193.0086,-57.1101
193.0086,193.2084,-57.3349
193.2084,193.4083,-57.359
193.4083,193.6081,-57.101
193.6081,193.808,-56.6174
193.808,194.0078,-56.1006
194.0078,194.2077,-55.7955
194.2077,194.4075,-55.853
194.4075,194.6073,-56.1967
194.6073,194.8072,-56.4877
194.8072,195.007,-56.2452
195.007,195.2069,-55.104
195.2069,195.4067,-53.0241
195.4067,195.6066,-50.4341
195.6066,195.8064,-48.0928
195.8064,196.0062,-46.7918
196.0062,196.2061,-47.0205



//TRACE,Optical Spectrum,Input 1 (Run 11) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3111
191.8,1.694
191.9,2.0443
192.1,2.6065
192.2,2.8009
192.3,2.9298
192.4,2.991
192.5,2.9869
192.6,2.9235
192.7,2.8131
192.8,2.6705
193.2,2.1862
193.5,2.395
193.9,3.3235
194,3.5045
194.4,3.3686
194.5,3.1612
194.6,2.9578
194.7,2.8181
194.8,2.8065
194.9,2.9803
195,3.3791
195.1,4.0249
195.2,4.9185
195.3,6.0141
195.4,7.2522
195.5,8.5417
195.7,10.8608
195.8,11.6835

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6657
191.8095,192.0094,-57.8997
192.0094,192.2092,-57.3129
192.2092,192.4091,-56.9705
192.4091,192.6089,-56.8961
192.6089,192.8088,-57.0506
192.8088,193.0086,-57.3235
193.0086,193.2084,-57.5544
193.2084,193.4083,-57.5854
193.4083,193.6081,-57.3354
193.6081,193.808,-56.8604
193.808,194.0078,-56.352
194.0078,194.2077,-56.0543
194.2077,194.4075,-56.1182
194.4075,194.6073,-56.4687
194.6073,194.8072,-56.7695
194.8072,195.007,-56.5428
195.007,195.2069,-55.4244
195.2069,195.4067,-53.3737
195.4067,195.6066,-50.8146
195.6066,195.8064,-48.4993
195.8064,196.0062,-47.2126
196.0062,196.2061,-47.4398



//TRACE,Optical Spectrum,Input 1 (Run 12) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9902
191.8,1.7849
191.9,2.1384
192,2.4487
192.1,2.7066
192.2,2.9036
192.3,3.035
