//DATASET,
//created,Tue, 16 Feb 2021 23:16:58 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.8095,192.0094,-57.6825
192.0094,192.2092,-57.0824
192.2092,192.4091,-56.7284
192.4091,192.6089,-56.6444
192.6089,192.8088,-56.7907
192.8088,193.0086,-57.0563
193.0086,193.2084,-57.2797
193.2084,193.4083,-57.302
193.4083,193.6081,-57.042
193.6081,193.808,-56.5562
193.808,194.0078,-56.0373
194.0078,194.2077,-55.7303
194.2077,194.4075,-55.7862
194.4075,194.6073,-56.1282
194.6073,194.8072,-56.4167
194.8072,195.007,-56.1703
195.007,195.2069,-55.0233
195.2069,195.4067,-52.9361
195.4067,195.6066,-50.3382
195.6066,195.8064,-47.9904
195.8064,196.0062,-46.6858
196.0062,196.2061,-46.9149

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0974
191.7,1.5102
191.8,1.9007
192,2.5725
192.1,2.8341
192.2,3.0345
192.3,3.1691
192.4,3.2354
192.7,3.0701
192.8,2.9311
192.9,2.7795
193.1,2.5241
193.2,2.4616
193.3,2.4638
193.4,2.5395
193.5,2.6848
193.6,2.8915
193.7,3.138
194.1,3.9304
194.2,3.9441
194.3,3.8631
194.6,3.3002
194.8,3.1641
194.9,3.3487
195,3.7608
195.1,4.4221
195.2,5.3336
195.4,7.7066
195.5,9.0157
195.6,10.2724
195.8,12.2024



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.766
191.8095,192.0094,-58.0072
192.0094,192.2092,-57.427
192.2092,192.4091,-57.0902
192.4091,192.6089,-57.0207
192.6089,192.8088,-57.1791
192.8088,193.0086,-57.4557
193.0086,193.2084,-57.6904
193.2084,193.4083,-57.7256
193.4083,193.6081,-57.4805
193.6081,193.808,-57.0109
193.808,194.0078,-56.5078
194.0078,194.2077,-56.2146
194.2077,194.4075,-56.2825
194.4075,194.6073,-56.6372
194.6073,194.8072,-56.9442
194.8072,195.007,-56.7271
195.007,195.2069,-55.6229
195.2069,195.4067,-53.5902
195.4067,195.6066,-51.0502
195.6066,195.8064,-48.751
195.8064,196.0062,-47.4732
196.0062,196.2061,-47.6994

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8114
191.7,1.2126
191.9,1.9385
192,2.2422
192.1,2.4939
192.2,2.6853
192.3,2.8115
192.4,2.8702
192.5,2.8638
192.6,2.7983
192.8,2.5416
192.9,2.3848
193.3,2.0455
193.6,2.4501
193.7,2.6882
193.8,2.939
193.9,3.1693
194,3.3479
194.1,3.4504
194.3,3.3712
194.4,3.2039
194.6,2.7884
194.7,2.6455
195,3.1904
195.3,5.7993
195.4,7.0274
195.5,8.3073
195.6,9.537
195.7,10.6098
195.8,11.4268



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-56.5002
191.8095,192.0094,-55.5779
192.0094,192.2092,-54.8486
192.2092,192.4091,-54.3826
192.4091,192.6089,-54.2052
192.6089,192.8088,-54.2733
192.8088,193.0086,-54.4683
193.0086,193.2084,-54.6188
193.2084,193.4083,-54.5578
193.4083,193.6081,-54.201
193.6081,193.808,-53.6098
193.808,194.0078,-52.9877
194.0078,194.2077,-52.5904
194.2077,194.4075,-52.5691
194.4075,194.6073,-52.8297
194.6073,194.8072,-52.9998
194.8072,195.007,-52.5629
195.007,195.2069,-51.1368
195.2069,195.4067,-48.6925
195.4067,195.6066,-45.7156
195.6066,195.8064,-43.0496
195.8064,196.0062,-41.5704
196.0062,196.2061,-41.8191

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,2.9563
192.8,5.4624
