epoch,loss,mean_absolute_percentage_error,r_squared,val_loss,val_mean_absolute_percentage_error,val_r_squared
0,20.794466018676758,18462662.0,-11.136821746826172,20.376699447631836,17631998.0,-10.173115730285645
1,13.290242195129395,43099200.0,-6.465123653411865,9.79228687286377,50205088.0,-4.426252365112305
2,7.106576919555664,81016072.0,-3.04352068901062,4.56510066986084,80237032.0,-1.5077846050262451
3,5.9565839767456055,110863000.0,-2.363433599472046,4.045889377593994,85830680.0,-1.2059078216552734
4,5.468125820159912,108341960.0,-2.1704471111297607,4.104118824005127,85521592.0,-1.2418243885040283
5,5.227437973022461,109726880.0,-2.002840995788574,3.9826836585998535,87428160.0,-1.1693575382232666
6,5.06955099105835,114357032.0,-1.9082026481628418,3.9603922367095947,88461168.0,-1.1526367664337158
7,4.510488986968994,112772360.0,-1.615054965019226,3.735675096511841,91365320.0,-1.0203008651733398
8,4.48779821395874,119247664.0,-1.522287130355835,3.640666961669922,93040920.0,-0.9615570902824402
9,4.197727680206299,117716328.0,-1.3791308403015137,3.400290012359619,96055272.0,-0.8194323778152466
10,4.02920389175415,121267328.0,-1.318479299545288,3.4562928676605225,96624128.0,-0.8454088568687439
11,3.8569319248199463,124296040.0,-1.276711344718933,3.3367292881011963,98258536.0,-0.773379385471344
12,3.761927843093872,126497176.0,-1.200880527496338,3.204892873764038,100035664.0,-0.6932649612426758
13,3.6241278648376465,132292592.0,-1.070907711982727,3.0867204666137695,101434976.0,-0.6218249201774597
14,3.555267095565796,132191152.0,-1.010688304901123,3.0659472942352295,101909808.0,-0.6059436798095703
15,3.4318199157714844,130791528.0,-0.9080222845077515,2.9156877994537354,103521472.0,-0.5190902948379517
16,3.3667945861816406,131102320.0,-0.9241355061531067,3.3121564388275146,100176608.0,-0.7335634231567383
17,3.3003132343292236,134738048.0,-0.8758045434951782,3.0197935104370117,101952792.0,-0.5694915056228638
18,3.1636576652526855,134975584.0,-0.7945390343666077,2.8386499881744385,102685928.0,-0.467422217130661
19,3.2421488761901855,133803400.0,-0.839977502822876,2.8549530506134033,101837472.0,-0.4754527807235718
20,3.0746636390686035,136021472.0,-0.7655252814292908,2.9435412883758545,100535544.0,-0.5226531624794006
21,2.9864702224731445,127228544.0,-0.6802744269371033,3.0536253452301025,98949216.0,-0.5823599100112915
22,3.025135040283203,127820624.0,-0.7125183939933777,3.080173969268799,97908552.0,-0.5966759920120239
23,2.986023187637329,133660152.0,-0.7112894058227539,3.091850519180298,96992880.0,-0.60239577293396
24,2.832648992538452,134597520.0,-0.6202974915504456,2.8819713592529297,97674832.0,-0.48868513107299805
25,2.8799965381622314,135399664.0,-0.6178175806999207,2.9715700149536133,96065328.0,-0.5381171703338623
26,2.7593190670013428,130862592.0,-0.5707361698150635,2.82415509223938,96280752.0,-0.4597189426422119
27,2.735886335372925,133678704.0,-0.5530331134796143,3.101588010787964,93514592.0,-0.6104087829589844
28,2.7496564388275146,130551976.0,-0.5733171701431274,2.856842279434204,94105104.0,-0.4775678217411041
29,2.6719164848327637,126962760.0,-0.5587537288665771,2.7800815105438232,93752640.0,-0.43491464853286743
30,2.6995859146118164,124732040.0,-0.5199012756347656,2.9308528900146484,91991992.0,-0.5168651342391968
31,2.6450090408325195,129575888.0,-0.5191137790679932,2.8713436126708984,91762696.0,-0.485101580619812
32,2.58992862701416,125993880.0,-0.4731307625770569,2.8133788108825684,91411248.0,-0.45417487621307373
33,2.6108779907226562,127565856.0,-0.4867202937602997,2.9497199058532715,89437824.0,-0.5309457778930664
34,2.595726728439331,125410664.0,-0.4744557738304138,2.7458553314208984,89921968.0,-0.4227140247821808
35,2.469475746154785,125349824.0,-0.3883523643016815,2.8725578784942627,88433616.0,-0.492323100566864
36,2.507040500640869,125370568.0,-0.429005891084671,2.7718937397003174,88260920.0,-0.4375532269477844
37,2.4771320819854736,124016200.0,-0.40462157130241394,2.869774580001831,86906264.0,-0.48944124579429626
38,2.5042734146118164,127696808.0,-0.45638248324394226,2.745211124420166,86912880.0,-0.4215148091316223
39,2.404749631881714,130411440.0,-0.3503279387950897,2.851463556289673,85271720.0,-0.4809906482696533
40,2.416076898574829,120548952.0,-0.3684566915035248,2.849555015563965,84258424.0,-0.48229357600212097
41,2.3667185306549072,124588344.0,-0.38828447461128235,2.9469423294067383,82817392.0,-0.5345278978347778
42,2.3318159580230713,122150392.0,-0.33284392952919006,2.8946945667266846,82468736.0,-0.5066417455673218
43,2.379952907562256,119251904.0,-0.33775079250335693,2.6647047996520996,83075392.0,-0.3834175169467926
44,2.269512414932251,121054864.0,-0.27887994050979614,2.7707648277282715,81572456.0,-0.44268617033958435
45,2.278714418411255,121025144.0,-0.28429821133613586,2.9106552600860596,79796600.0,-0.5206507444381714
46,2.2353384494781494,115421840.0,-0.24708816409111023,3.050098180770874,78504784.0,-0.5957450866699219
47,2.1581714153289795,115480168.0,-0.22270533442497253,2.650038719177246,80090312.0,-0.37979698181152344
48,2.200315237045288,114234872.0,-0.23912498354911804,2.7650158405303955,78738968.0,-0.4434725046157837
49,2.220656394958496,116410368.0,-0.2697999179363251,2.7865660190582275,77940144.0,-0.4556216895580292
50,2.1659162044525146,116279960.0,-0.21965394914150238,2.6881518363952637,77737184.0,-0.4045123755931854
51,2.1424849033355713,120356736.0,-0.21877434849739075,2.4828054904937744,77895544.0,-0.29325345158576965
52,2.1871864795684814,120513776.0,-0.2338574081659317,2.859525203704834,74590536.0,-0.5004154443740845
53,2.1037261486053467,116859240.0,-0.1984499841928482,2.79575252532959,74197160.0,-0.4669545292854309
54,2.059258222579956,113242088.0,-0.19183190166950226,2.645528554916382,74554048.0,-0.38599061965942383
55,2.112267017364502,116171024.0,-0.24112723767757416,2.769972801208496,73361216.0,-0.4510371685028076
56,2.0446197986602783,111217216.0,-0.1363946795463562,2.714388132095337,72909944.0,-0.421801894903183
57,2.0569136142730713,111920632.0,-0.1645035743713379,2.474424123764038,73726632.0,-0.29275891184806824
58,2.0851852893829346,112653376.0,-0.21337178349494934,2.5886499881744385,72576368.0,-0.3547963798046112
59,2.0130906105041504,109823616.0,-0.13583265244960785,2.5006260871887207,72443080.0,-0.30747348070144653
60,1.9968571662902832,108259248.0,-0.11739186197519302,2.702129364013672,70743552.0,-0.4177822470664978
61,1.9900866746902466,107154840.0,-0.108686164021492,2.5513925552368164,71049192.0,-0.3361361622810364
62,2.029250383377075,114189008.0,-0.13914178311824799,2.628159999847412,70042600.0,-0.37750938534736633
63,1.986121654510498,108313872.0,-0.13858366012573242,2.6699485778808594,69186856.0,-0.40003737807273865
64,1.9605761766433716,106657144.0,-0.1012253686785698,2.6123077869415283,68964712.0,-0.3691062331199646
65,1.9913617372512817,109429384.0,-0.14725640416145325,2.729762554168701,67802816.0,-0.4356983006000519
66,1.963313341140747,107597304.0,-0.14170190691947937,2.4261274337768555,68874224.0,-0.2713357210159302
67,1.91376793384552,107305880.0,-0.08117976784706116,2.573235273361206,67669720.0,-0.35189709067344666
68,1.8460032939910889,103456696.0,-0.056555792689323425,2.3660600185394287,68393040.0,-0.23934173583984375
69,1.85663640499115,105854872.0,-0.045075491070747375,2.6716456413269043,66027980.0,-0.40637269616127014
70,1.881136178970337,106635880.0,-0.05551777780056,2.628382921218872,65988988.0,-0.38153213262557983
71,1.8980501890182495,108265832.0,-0.07876794040203094,2.539682388305664,65845344.0,-0.3333507180213928
72,1.8787448406219482,103649696.0,-0.07737715542316437,2.666997194290161,64735960.0,-0.40064552426338196
73,1.8700878620147705,104428040.0,-0.07255618274211884,2.5635766983032227,64851316.0,-0.3459824025630951
74,1.810360312461853,101161240.0,-0.021999776363372803,2.3208279609680176,65893092.0,-0.2133396565914154
75,1.7870063781738281,102406248.0,-0.015373807400465012,2.2873551845550537,65484104.0,-0.1957237720489502
76,1.8631591796875,103907096.0,-0.05688321590423584,2.3565073013305664,64557736.0,-0.2349020540714264
77,1.8164374828338623,99680528.0,-0.024570483714342117,2.408400297164917,63823364.0,-0.2644818127155304
78,1.7854969501495361,104014096.0,-0.0071825385093688965,2.699755907058716,61957060.0,-0.4218764007091522
79,1.783011794090271,96066688.0,0.0008814610191620886,2.371790647506714,62956436.0,-0.2443033754825592
80,1.7373028993606567,97771720.0,0.020538581535220146,2.404233932495117,62358144.0,-0.26219284534454346
81,1.8117845058441162,96757736.0,-0.03195841982960701,2.442610263824463,61970152.0,-0.28502824902534485
82,1.768423318862915,99542928.0,-0.0023511648178100586,2.5075690746307373,61454840.0,-0.3198128044605255
83,1.7903107404708862,101752896.0,-0.022215701639652252,2.2859299182891846,62319124.0,-0.20101642608642578
84,1.756524920463562,101286552.0,0.015896985307335854,2.4377288818359375,61117576.0,-0.2832948565483093
85,1.7242928743362427,96497864.0,0.03397732600569725,2.4125123023986816,60810072.0,-0.2683141529560089
86,1.69182288646698,98077992.0,0.048528317362070084,2.2547740936279297,61110876.0,-0.18383172154426575
87,1.6505115032196045,99778608.0,0.0601535439491272,2.4272923469543457,59887036.0,-0.2770172357559204
88,1.6775041818618774,95298872.0,0.014878236688673496,2.089433193206787,61300260.0,-0.0945705771446228
89,1.695692539215088,93874680.0,0.0335344597697258,2.095918655395508,61013092.0,-0.1004648208618164
90,1.6829400062561035,95238712.0,0.05130155757069588,2.3079469203948975,59757772.0,-0.21507364511489868
91,1.658829927444458,95862624.0,0.06560254842042923,2.287097692489624,59655660.0,-0.20290717482566833
92,1.6815708875656128,96294704.0,0.05013573169708252,2.1215765476226807,60226352.0,-0.11315390467643738
93,1.595686435699463,97141728.0,0.07726532965898514,2.2444615364074707,58960792.0,-0.18113380670547485
94,1.7005118131637573,96938168.0,0.026160039007663727,2.392354965209961,57810944.0,-0.26198917627334595
95,1.6909250020980835,95866792.0,0.03502223640680313,2.2342276573181152,58542596.0,-0.17700356245040894
96,1.6274495124816895,92336632.0,0.09358931332826614,2.151196002960205,58700724.0,-0.1316295564174652
97,1.6344225406646729,93839096.0,0.056235674768686295,2.3095545768737793,57365800.0,-0.21778157353401184
98,1.6151224374771118,94655984.0,0.08917137235403061,2.1510109901428223,57841344.0,-0.13226845860481262
99,1.584797739982605,91779072.0,0.0970783531665802,2.13993763923645,57620740.0,-0.1258777230978012
100,1.5842084884643555,90750176.0,0.09347661584615707,2.1010003089904785,57524112.0,-0.1047489196062088
101,1.595502495765686,91984664.0,0.10063783824443817,2.2221927642822266,56784624.0,-0.17112788558006287
102,1.5923174619674683,90148448.0,0.07484613358974457,2.2056987285614014,56729876.0,-0.16135533154010773
103,1.6387546062469482,92231664.0,0.07858848571777344,2.1280572414398193,56671984.0,-0.12063591182231903
104,1.5838282108306885,93251368.0,0.10936938971281052,2.210604190826416,56098012.0,-0.1664568930864334
105,1.5610564947128296,90641088.0,0.11267412453889847,2.0754435062408447,56399584.0,-0.0941605269908905
106,1.5669907331466675,91000128.0,0.1192326694726944,2.2984397411346436,55201480.0,-0.21581116318702698
107,1.5355521440505981,92371168.0,0.12810395658016205,2.1392557621002197,55472140.0,-0.12845705449581146
108,1.5909405946731567,91570688.0,0.09012077748775482,1.954013705253601,55855432.0,-0.027695372700691223
109,1.558092474937439,89784736.0,0.11873241513967514,1.9285725355148315,55485608.0,-0.014132976531982422
110,1.5115457773208618,89395816.0,0.1381106972694397,1.9940873384475708,54833908.0,-0.05092991888523102
111,1.5133391618728638,86361824.0,0.11092719435691833,2.2432732582092285,53473736.0,-0.18715643882751465
112,1.6031789779663086,86691424.0,0.10328137874603271,2.1137125492095947,53660392.0,-0.11920908093452454
113,1.5164282321929932,84819024.0,0.14707040786743164,2.093783140182495,53447180.0,-0.1090688705444336
114,1.5384970903396606,84732248.0,0.14081472158432007,1.9944466352462769,53656220.0,-0.053705304861068726
115,1.5127538442611694,85936320.0,0.14504839479923248,2.1650874614715576,52475540.0,-0.1466541290283203
116,1.5424776077270508,84430104.0,0.13535673916339874,2.0001914501190186,52951888.0,-0.05672122538089752
117,1.499518632888794,89543152.0,0.1593957245349884,1.9405723810195923,53183552.0,-0.02449159324169159
118,1.486905813217163,82573424.0,0.15442046523094177,2.2035202980041504,51664620.0,-0.16863946616649628
119,1.5158997774124146,85071656.0,0.15392296016216278,2.1077170372009277,51192916.0,-0.11599597334861755
120,1.4841793775558472,81575096.0,0.1668221652507782,1.773672342300415,52432776.0,0.06587119400501251
121,1.4944343566894531,82065800.0,0.14781443774700165,1.8291939496994019,52291964.0,0.03685842454433441
122,1.5085525512695312,83476480.0,0.14911970496177673,1.9967585802078247,51229424.0,-0.05385272204875946
123,1.5285379886627197,86004736.0,0.13346107304096222,2.0840492248535156,50366144.0,-0.10266032814979553
124,1.494940996170044,81198656.0,0.14549139142036438,1.8940329551696777,51064696.0,-0.00028796494007110596
125,1.481693983078003,81972752.0,0.143357515335083,1.9782520532608032,50398340.0,-0.046516165137290955
126,1.4774163961410522,83944216.0,0.15600667893886566,1.8670018911361694,50751108.0,0.01446293294429779
127,1.5388731956481934,83757176.0,0.12847018241882324,1.7189428806304932,50880384.0,0.09514431655406952
128,1.414655327796936,82070432.0,0.18928058445453644,1.9380407333374023,49375620.0,-0.023947760462760925
129,1.3718786239624023,79423896.0,0.2118583768606186,1.8240182399749756,49417700.0,0.03718765079975128
130,1.4497168064117432,81854712.0,0.17033204436302185,1.8236451148986816,49095192.0,0.03762237727642059
131,1.454943299293518,78796472.0,0.17042437195777893,1.919915795326233,48412768.0,-0.014776721596717834
132,1.4179986715316772,75761160.0,0.20013467967510223,1.7522406578063965,48825436.0,0.07683168351650238
133,1.4408955574035645,79332392.0,0.17887185513973236,1.687167763710022,48461760.0,0.11254480481147766
134,1.4084831476211548,77413168.0,0.2006072998046875,1.7310631275177002,47701688.0,0.08857952058315277
135,1.3913077116012573,77487800.0,0.21672171354293823,1.8046878576278687,46717928.0,0.04898470640182495
136,1.3914179801940918,78267320.0,0.2163800448179245,1.891228437423706,45770396.0,0.0011204332113265991
137,1.3656255006790161,77481536.0,0.22711771726608276,1.5577809810638428,46630388.0,0.1826910674571991
138,1.4038969278335571,77745472.0,0.19167327880859375,2.0145294666290283,43840908.0,-0.06592008471488953
139,1.384808897972107,74652024.0,0.20983022451400757,1.893606424331665,44042448.0,-1.6391277313232422e-05
140,1.3535836935043335,71861064.0,0.21585248410701752,1.865688443183899,43791284.0,0.013919174671173096
141,1.387969970703125,71041928.0,0.20452268421649933,1.7860761880874634,43589364.0,0.0551605224609375
142,1.3981822729110718,74859024.0,0.20047375559806824,1.6640464067459106,43174168.0,0.12376119196414948
143,1.373429775238037,78266144.0,0.23146626353263855,1.7682687044143677,41435832.0,0.06882040202617645
144,1.3157744407653809,69907840.0,0.185257688164711,1.7321281433105469,40878556.0,0.08786441385746002
145,1.3559569120407104,69001760.0,0.20801448822021484,1.7919834852218628,40287752.0,0.0557146817445755
