//DATASET,
//created,Wed, 03 Feb 2021 16:29:59 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
194.8072,195.007,-56.8825
195.007,195.2069,-55.7901
195.2069,195.4067,-53.7726
195.4067,195.6066,-51.2487
195.6066,195.8064,-48.9631
195.8064,196.0062,-47.6927
196.0062,196.2061,-47.9181



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,2.2683
192.2,3.4502
192.3,3.5947
192.5,3.6787
192.7,3.5272
193.2,2.9516
193.3,2.9617
193.6,3.4168
194,4.3844
194.2,4.5227
194.4,4.2938
194.5,4.0983
194.6,3.9094
194.7,3.7881
194.8,3.8002
194.9,4.004
195.3,7.2212
195.4,8.5149
195.5,9.8588

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.1029
191.8095,192.0094,-57.2964
192.0094,192.2092,-56.6727
192.2092,192.4091,-56.2982
192.4091,192.6089,-56.197
192.6089,192.8088,-56.3289
192.8088,193.0086,-56.5815
193.0086,193.2084,-56.7914
193.2084,193.4083,-56.7984
193.4083,193.6081,-56.5207
193.6081,193.808,-56.0157
193.808,194.0078,-55.4779
194.0078,194.2077,-55.1544
194.2077,194.4075,-55.1961
194.4075,194.6073,-55.523
194.6073,194.8072,-55.7897
194.8072,195.007,-55.5084
195.007,195.2069,-54.3105
195.2069,195.4067,-52.1582
195.4067,195.6066,-49.4912
195.6066,195.8064,-47.0853
195.8064,196.0062,-45.7488
196.0062,196.2061,-45.9815



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,2.2105
191.9,2.5791
192.2,3.3848
192.5,3.609
192.7,3.4553
192.8,3.3217
192.9,3.1754
193.2,2.8745
193.3,2.8834
193.4,2.9662
193.5,3.1193
193.6,3.3341
193.8,3.8562
194,4.2958
194.1,4.4118
194.2,4.4317
194.3,4.3564
194.4,4.2007
194.7,3.6904
194.8,3.7001
194.9,3.9009
195,4.3328
195.2,5.9558
195.3,7.0997
195.5,9.7262
195.6,11.0099

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.1595
191.8095,192.0094,-57.3571
192.0094,192.2092,-56.7371
192.2092,192.4091,-56.3658
192.4091,192.6089,-56.2674
192.6089,192.8088,-56.4016
192.8088,193.0086,-56.6562
193.0086,193.2084,-56.8682
193.2084,193.4083,-56.8776
193.4083,193.6081,-56.6027
193.6081,193.808,-56.1007
193.808,194.0078,-55.5659
194.0078,194.2077,-55.2449
194.2077,194.4075,-55.2889
194.4075,194.6073,-55.6182
194.6073,194.8072,-55.8883
194.8072,195.007,-55.6125
195.007,195.2069,-54.4226
195.2069,195.4067,-52.2806
195.4067,195.6066,-49.6245
195.6066,195.8064,-47.2277
195.8064,196.0062,-45.8962
196.0062,196.2061,-46.1284



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.6853
191.9,2.4466
192,2.7669
192.2,3.2401
192.4,3.4503
192.5,3.4549
192.6,3.3993
192.7,3.2962
192.8,3.1603
193.1,2.7628
193.2,2.704
193.4,2.7899
193.5,2.9398
194.1,4.213
194.2,4.2302
194.3,4.1526
194.4,3.9945
194.5,3.7951
194.6,3.6015
194.7,3.4743
195,4.0965
195.1,4.7716
195.2,5.6987
195.3,6.8307
195.5,9.4327
195.7,11.8145

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.2849
191.8095,192.0094,-57.4915
192.0094,192.2092,-56.8797
192.2092,192.4091,-56.5156
192.4091,192.6089,-56.4231
192.6089,192.8088,-56.5623
192.8088,193.0086,-56.8215
193.0086,193.2084,-57.0381
193.2084,193.4083,-57.0529
193.4083,193.6081,-56.7841
193.6081,193.808,-56.2888
193.808,194.0078,-55.7606
194.0078,194.2077,-55.4454
194.2077,194.4075,-55.4943
194.4075,194.6073,-55.8288
194.6073,194.8072,-56.1065
194.8072,195.007,-55.8429
195.007,195.2069,-54.6707
195.2069,195.4067,-52.5513
195.4067,195.6066,-49.9193
195.6066,195.8064,-47.5427
195.8064,196.0062,-46.2224
196.0062,196.2061,-46.4533



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0807
191.8,1.8826
191.9,2.2396
192.1,2.8142
192.2,3.0141
192.3,3.1481
192.4,3.214
192.7,3.0476
192.9,2.7564
193,2.6133
193.1,2.5003
193.2,2.4376
193.3,2.4394
193.4,2.5146
193.5,2.6595
193.6,2.8656
193.7,3.1117
193.8,3.3701
194,3.7935
194.1,3.9023
194.3,3.8343
194.4,3.6724
194.5,3.469
194.8,3.1329
195,3.7274
195.1,4.3874
195.5,8.9743
195.7,11.3238
195.8,12.1571

//NoiseBins
