//DATASET,
//created,Sat, 20 Feb 2021 20:56:48 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
192.2092,192.4091,-56.5521
192.4091,192.6089,-56.4611
192.6089,192.8088,-56.6015
192.8088,193.0086,-56.8618
193.0086,193.2084,-57.0796
193.2084,193.4083,-57.0956
193.4083,193.6081,-56.8284
193.6081,193.808,-56.3347
193.808,194.0078,-55.8081
194.0078,194.2077,-55.4943
194.2077,194.4075,-55.5444
194.4075,194.6073,-55.8802
194.6073,194.8072,-56.1598
194.8072,195.007,-55.899
195.007,195.2069,-54.7312
195.2069,195.4067,-52.6174
195.4067,195.6066,-49.9912
195.6066,195.8064,-47.6196
195.8064,196.0062,-46.3019
196.0062,196.2061,-46.5325

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.2369
191.7,1.6553
191.8,2.0513
191.9,2.4142
192,2.7335
192.1,2.9999
192.2,3.2048
192.3,3.3434
192.4,3.4134
192.6,3.3611
192.7,3.2574
192.8,3.121
192.9,2.972
193,2.8318
193.1,2.7218
193.2,2.6624
193.3,2.6678
193.4,2.7469
193.5,2.8961
193.6,3.1067
193.7,3.3572
194.2,4.1811
194.5,3.7442
194.6,3.5498
195.1,4.7116
195.2,5.636
195.7,11.7379
195.8,12.5806



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4052
191.8095,192.0094,-57.6205
192.0094,192.2092,-57.0166
192.2092,192.4091,-56.6594
192.4091,192.6089,-56.5726
192.6089,192.8088,-56.7166
192.8088,193.0086,-56.9801
193.0086,193.2084,-57.2013
193.2084,193.4083,-57.2212
193.4083,193.6081,-56.9584
193.6081,193.808,-56.4695
193.808,194.0078,-55.9475
194.0078,194.2077,-55.6379
194.2077,194.4075,-55.6915
194.4075,194.6073,-56.0311
194.6073,194.8072,-56.3161
194.8072,195.007,-56.0641
195.007,195.2069,-54.9089
195.2069,195.4067,-52.8113
195.4067,195.6066,-50.2024
195.6066,195.8064,-47.8452
195.8064,196.0062,-46.5355
196.0062,196.2061,-46.7652

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.9597
191.9,2.3194
192,2.6356
192.1,2.899
192.2,3.1012
192.3,3.2373
192.4,3.3051
192.5,3.3069
192.6,3.2488
192.7,3.1434
192.8,3.0055
192.9,2.8549
193,2.7131
193.1,2.6015
193.2,2.5402
193.4,2.6207
193.5,2.7675
193.6,2.9757
193.8,3.4844
193.9,3.7242
194,3.9115
194.2,4.0369
194.4,3.7966
194.5,3.5947
194.6,3.3979
194.7,3.2668
194.8,3.2662
194.9,3.4538
195,3.8696
195.1,4.5355
195.2,5.452
195.4,7.8362
195.5,9.1509
195.6,10.4128
195.8,12.3505



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.0429
191.8095,192.0094,-57.2322
192.0094,192.2092,-56.6045
192.2092,192.4091,-56.2266
192.4091,192.6089,-56.1226
192.6089,192.8088,-56.2521
192.8088,193.0086,-56.5025
193.0086,193.2084,-56.7102
193.2084,193.4083,-56.7146
193.4083,193.6081,-56.434
193.6081,193.808,-55.9257
193.808,194.0078,-55.3848
194.0078,194.2077,-55.0586
194.2077,194.4075,-55.0979
194.4075,194.6073,-55.4224
194.6073,194.8072,-55.6854
194.8072,195.007,-55.3983
195.007,195.2069,-54.1919
195.2069,195.4067,-52.0288
195.4067,195.6066,-49.3503
195.6066,195.8064,-46.9346
195.8064,196.0062,-45.5929
196.0062,196.2061,-45.8262

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,2.3295
192,3.031
192.1,3.3062
192.7,3.6033
192.9,3.3275
193,3.1921
193.1,3.0872
193.5,3.2863
193.7,3.7623
193.8,4.0327
194,4.4782
194.2,4.619
194.3,4.546
195,4.5526
195.4,8.6494
195.5,9.9992



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6775
191.8095,192.0094,-57.9123
192.0094,192.2092,-57.3263
192.2092,192.4091,-56.9845
192.4091,192.6089,-56.9107
192.6089,192.8088,-57.0656
192.8088,193.0086,-57.339
193.0086,193.2084,-57.5703
193.2084,193.4083,-57.6018
193.4083,193.6081,-57.3524
193.6081,193.808,-56.878
193.808,194.0078,-56.3703
194.0078,194.2077,-56.0731
194.2077,194.4075,-56.1375
194.4075,194.6073,-56.4884
194.6073,194.8072,-56.79
194.8072,195.007,-56.5644
195.007,195.2069,-55.4477
195.2069,195.4067,-53.399
195.4067,195.6066,-50.8422
195.6066,195.8064,-48.5288
195.8064,196.0062,-47.2431
196.0062,196.2061,-47.4702

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.2995
191.8,1.6821
192.1,2.5933
192.2,2.7873
192.5,2.9725
192.6,2.9088
192.7,2.7983
193,2.3536
193.1,2.2369
193.3,2.1678
193.5,2.3782
193.7,2.8196
193.9,3.3054
194,3.4861
194.2,3.6
194.3,3.5149
194.4,3.3493
194.5,3.1416
194.6,2.9379
194.7,2.7979
194.8,2.7858
195,3.357
195.1,4.0019
195.3,5.989
195.4,7.2259
195.5,8.5142
195.7,10.8314
195.8,11.6534



//TRACE,Optical Spectrum,Input 1 (Run 10) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6905
191.8095,192.0094,-57.9263
192.0094,192.2092,-57.3411
192.2092,192.4091,-57.0001
192.4091,192.6089,-56.9269
192.6089,192.8088,-57.0823
192.8088,193.0086,-57.3562
193.0086,193.2084,-57.588
193.2084,193.4083,-57.62
193.4083,193.6081,-57.3713
193.6081,193.808,-56.8976
193.808,194.0078,-56.3905
194.0078,194.2077,-56.094
194.2077,194.4075,-56.1588
194.4075,194.6073,-56.5103
194.6073,194.8072,-56.8127
194.8072,195.007,-56.5884
195.007,195.2069,-55.4735
195.2069,195.4067,-53.4272
195.4067,195.6066,-50.8728
195.6066,195.8064,-48.5615
195.8064,196.0062,-47.277
196.0062,196.2061,-47.5039

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.2867
192,2.3245
192.1,2.5787
192.4,2.9611
192.7,2.7817
192.9,2.4831
193.3,2.1497
195.3,5.961
195.7,10.7987



//TRACE,Optical Spectrum,Input 1 (Run 11) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5092
191.8095,192.0094,-57.7319
192.0094,192.2092,-57.1349
192.2092,192.4091,-56.7835
192.4091,192.6089,-56.7017
192.6089,192.8088,-56.8499
192.8088,193.0086,-57.1171
193.0086,193.2084,-57.3422
193.2084,193.4083,-57.3665
193.4083,193.6081,-57.1088
193.6081,193.808,-56.6254
193.808,194.0078,-56.1089
194.0078,194.2077,-55.804
194.2077,194.4075,-55.8618
194.4075,194.6073,-56.2057
194.6073,194.8072,-56.497
194.8072,195.007,-56.2551
195.007,195.2069,-55.1146
195.2069,195.4067,-53.0357
195.4067,195.6066,-50.4467
195.6066,195.8064,-48.1062
195.8064,196.0062,-46.8057
196.0062,196.2061,-47.0344

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.8537
191.9,2.2096
192.1,2.7823
192.3,3.1146
192.6,3.119
192.7,3.0116
192.8,2.8718
192.9,2.7194
193,2.5758
193.1,2.4623
193.3,2.4001
193.4,2.4747
193.5,2.6188
193.6,2.8242
193.7,3.0695
193.8,3.3272
194,3.7491
194.2,3.8701
194.3,3.7882
194.4,3.6258
194.5,3.4217
194.6,3.2223
194.7,3.0877
194.8,3.0827
194.9,3.2648
195,3.6739
195.1,4.3317
195.2,5.2391
195.3,6.3497
195.4,7.6032
195.5,8.9078
195.6,10.1604
195.8,12.0843



//TRACE,Optical Spectrum,Input 1 (Run 12) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4253
191.8095,192.0094,-57.642
192.0094,192.2092,-57.0394
192.2092,192.4091,-56.6833
192.4091,192.6089,-56.5975
192.6089,192.8088,-56.7423
192.8088,193.0086,-57.0065
193.0086,193.2084,-57.2285
193.2084,193.4083,-57.2492
193.4083,193.6081,-56.9873
193.6081,193.808,-56.4995
193.808,194.0078,-55.9786
194.0078,194.2077,-55.6699
194.2077,194.4075,-55.7243
194.4075,194.6073,-56.0647
194.6073,194.8072,-56.351
194.8072,195.007,-56.1009
195.007,195.2069,-54.9486
195.2069,195.4067,-52.8545
195.4067,195.6066,-50.2494
195.6066,195.8064,-47.8955
195.8064,196.0062,-46.5875
196.0062,196.2061,-46.8171

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.1331
191.7,1.5473
191.8,1.9392
191.9,2.2982
192,2.6137
192.1,2.8765
192.2,3.0781
192.3,3.2137
192.4,3.2809
192.5,3.2823
192.6,3.2238
192.7,3.118
192.8,2.9797
192.9,2.8288
193,2.6866
193.1,2.5747
193.2,2.513
193.3,2.516
193.5,2.7389
193.6,2.9465
193.7,3.1941
193.8,3.4541
193.9,3.6934
194,3.8802
194.1,3.9903
194.2,4.0048
194.6,3.3641
194.7,3.2323
194.8,3.2308
194.9,3.4174
195,3.8319
195.1,4.4962
195.2,5.411
195.3,6.5295
195.4,7.7913
195.5,9.1041
195.7,11.4628
195.8,12.2992



//TRACE,Optical Spectrum,Input 1 (Run 13) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6341
191.8095,192.0094,-57.8658
192.0094,192.2092,-57.2769
192.2092,192.4091,-56.9327
192.4091,192.6089,-56.8568
192.6089,192.8088,-57.01
192.8088,193.0086,-57.2818
193.0086,193.2084,-57.5115
193.2084,193.4083,-57.5411
193.4083,193.6081,-57.2896
193.6081,193.808,-56.8129
193.808,194.0078,-56.3029
194.0078,194.2077,-56.0037
194.2077,194.4075,-56.0664
194.4075,194.6073,-56.4155
194.6073,194.8072,-56.7145
194.8072,195.007,-56.4846
195.007,195.2069,-55.3618
195.2069,195.4067,-53.3054
195.4067,195.6066,-50.7402
195.6066,195.8064,-48.4199
195.8064,196.0062,-47.1304
196.0062,196.2061,-47.3578

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9359
191.7,1.3422
192,2.386
192.1,2.642
192.3,2.9671
192.4,3.0291
192.5,3.0257
192.7,2.8532
192.8,2.7112
193,2.4108
193.1,2.295
193.4,2.2992
193.5,2.4402
193.7,2.884
193.9,3.3721
194.1,3.6594
194.2,3.6696
194.4,3.4205
194.5,3.2138
194.6,3.0112
194.9,3.0378
195.1,4.0869
195.2,4.9833
195.3,6.0819
195.5,8.6157
195.7,10.94
195.8,11.7645



//TRACE,Optical Spectrum,Input 1 (Run 14) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.8409
191.8095,192.0094,-57.0156
192.0094,192.2092,-56.3747
192.2092,192.4091,-55.9852
192.4091,192.6089,-55.8716
192.6089,192.8088,-55.9931
192.8088,193.0086,-56.2362
193.0086,193.2084,-56.4364
193.2084,193.4083,-56.4322
193.4083,193.6081,-56.1416
193.6081,193.808,-55.6225
193.808,194.0078,-55.0711
194.0078,194.2077,-54.7355
194.2077,194.4075,-54.7669
194.4075,194.6073,-55.083
194.6073,194.8072,-55.3338
194.8072,195.007,-55.0271
195.007,195.2069,-53.792
195.2069,195.4067,-51.5923
195.4067,195.6066,-48.8749
195.6066,195.8064,-46.4267
195.8064,196.0062,-45.067
196.0062,196.2061,-45.3023

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,2.1221
191.8,2.5359
192.2,3.7527
192.7,3.8599
193.3,3.324
195.4,9.1032



//TRACE,Optical Spectrum,Input 1 (Run 15) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6405
191.8095,192.0094,-57.8727
192.0094,192.2092,-57.2842
192.2092,192.4091,-56.9404
192.4091,192.6089,-56.8648
192.6089,192.8088,-57.0182
192.8088,193.0086,-57.2903
193.0086,193.2084,-57.5202
193.2084,193.4083,-57.5501
193.4083,193.6081,-57.2989
193.6081,193.808,-56.8226
193.808,194.0078,-56.3129
194.0078,194.2077,-56.014
194.2077,194.4075,-56.0769
194.4075,194.6073,-56.4263
194.6073,194.8072,-56.7257
194.8072,195.007,-56.4965
195.007,195.2069,-55.3745
195.2069,195.4067,-53.3193
195.4067,195.6066,-50.7553
195.6066,195.8064,-48.436
195.8064,196.0062,-47.1471
196.0062,196.2061,-47.3745

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9299
191.8,1.7197
192,2.379
192.3,2.9596
192.4,3.0214
192.7,2.8451
192.9,2.5483
193,2.4024
193.2,2.2204
193.3,2.2188
193.7,2.8745
193.8,3.1286
193.9,3.3623
194,3.5439
194.8,2.851
195.3,6.0682
195.6,9.8415
195.8,11.748



//TRACE,Optical Spectrum,Input 1 (Run 16) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3827
191.8095,192.0094,-57.5964
192.0094,192.2092,-56.991
192.2092,192.4091,-56.6325
192.4091,192.6089,-56.5446
192.6089,192.8088,-56.6877
192.8088,193.0086,-56.9504
193.0086,193.2084,-57.1708
193.2084,193.4083,-57.1897
193.4083,193.6081,-56.9258
193.6081,193.808,-56.4357
193.808,194.0078,-55.9125
194.0078,194.2077,-55.6019
194.2077,194.4075,-55.6546
