//DATASET,
//created,Wed, 03 Feb 2021 13:28:32 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8095,192.0094,-57.4869
192.0094,192.2092,-56.8748
192.2092,192.4091,-56.5104
192.4091,192.6089,-56.4177
192.6089,192.8088,-56.5568
192.8088,193.0086,-56.8158
193.0086,193.2084,-57.0323
193.2084,193.4083,-57.0468
193.4083,193.6081,-56.7779
193.6081,193.808,-56.2823
193.808,194.0078,-55.7539
194.0078,194.2077,-55.4385
194.2077,194.4075,-55.4872
194.4075,194.6073,-55.8216
194.6073,194.8072,-56.099
194.8072,195.007,-55.8349
195.007,195.2069,-54.6622
195.2069,195.4067,-52.542
195.4067,195.6066,-49.9092
195.6066,195.8064,-47.5319
195.8064,196.0062,-46.2111
196.0062,196.2061,-46.4421



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
194,3.1153
194.1,3.2145
195,2.9101
195.5,7.9592

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.915
191.8095,192.0094,-58.1669
192.0094,192.2092,-57.5964
192.2092,192.4091,-57.2681
192.4091,192.6089,-57.2056
192.6089,192.8088,-57.3701
192.8088,193.0086,-57.6521
193.0086,193.2084,-57.8923
193.2084,193.4083,-57.9339
193.4083,193.6081,-57.6962
193.6081,193.808,-57.2345
193.808,194.0078,-56.7391
194.0078,194.2077,-56.4528
194.2077,194.4075,-56.5265
194.4075,194.6073,-56.8875
194.6073,194.8072,-57.2035
194.8072,195.007,-57.001
195.007,195.2069,-55.9177
195.2069,195.4067,-53.9117
195.4067,195.6066,-51.4001
195.6066,195.8064,-49.1248
195.8064,196.0062,-47.8601
196.0062,196.2061,-48.0848



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.1,2.0559
192.2,2.2355
193.1,1.5959
193.6,1.8816
193.8,2.3491
194.7,1.9735
195,2.4557
195.3,4.963
195.5,7.3948
195.8,10.4278

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.1567
191.8095,192.0094,-58.4259
192.0094,192.2092,-57.8713
192.2092,192.4091,-57.5568
192.4091,192.6089,-57.5058
192.6089,192.8088,-57.6799
192.8088,193.0086,-57.9707
193.0086,193.2084,-58.2201
193.2084,193.4083,-58.272
193.4083,193.6081,-58.0461
193.6081,193.808,-57.5973
193.808,194.0078,-57.1144
194.0078,194.2077,-56.8392
194.2077,194.4075,-56.9225
194.4075,194.6073,-57.2936
194.6073,194.8072,-57.6245
194.8072,195.007,-57.4454
195.007,195.2069,-56.396
195.2069,195.4067,-54.4333
195.4067,195.6066,-51.9677
195.6066,195.8064,-49.7311
195.8064,196.0062,-48.4877
196.0062,196.2061,-48.71



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.1436
192.7,1.7893
193,1.3026
193.2,1.0886
194.5,1.8174
195.5,6.6531
195.6,7.8199
195.7,8.8392

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.4747
191.8095,192.0094,-58.7666
192.0094,192.2092,-58.2328
192.2092,192.4091,-57.9363
192.4091,192.6089,-57.9005
192.6089,192.8088,-58.0874
192.8088,193.0086,-58.3899
193.0086,193.2084,-58.6512
193.2084,193.4083,-58.7167
193.4083,193.6081,-58.5065
193.6081,193.808,-58.0745
193.808,194.0078,-57.6082
194.0078,194.2077,-57.3474
194.2077,194.4075,-57.4433
194.4075,194.6073,-57.828
194.6073,194.8072,-58.1783
194.8072,195.007,-58.0301
195.007,195.2069,-57.0253
195.2069,195.4067,-55.1193
195.4067,195.6066,-52.7139
195.6066,195.8064,-50.528
195.8064,196.0062,-49.3125
196.0062,196.2061,-49.5317



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.5358
192,3.0788
192.2,3.5698
192.3,3.7172
192.6,3.7565
192.7,3.6588
192.8,3.5281
192.9,3.3846
193.7,3.8273
193.8,4.0989
194.1,4.6662
194.2,4.6893
194.3,4.6171
194.4,4.4644
194.6,4.0848
195.2,6.2845
195.3,7.4437
195.5,10.1016

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.9992
191.8095,192.0094,-57.1853
192.0094,192.2092,-56.5548
192.2092,192.4091,-56.1743
192.4091,192.6089,-56.0683
192.6089,192.8088,-56.1961
192.8088,193.0086,-56.4449
193.0086,193.2084,-56.6509
193.2084,193.4083,-56.6535
193.4083,193.6081,-56.3707
193.6081,193.808,-55.8601
193.808,194.0078,-55.3169
194.0078,194.2077,-54.9887
194.2077,194.4075,-55.0263
194.4075,194.6073,-55.3489
194.6073,194.8072,-55.6093
194.8072,195.007,-55.3179
195.007,195.2069,-54.1054
195.2069,195.4067,-51.9343
195.4067,195.6066,-49.2474
195.6066,195.8064,-46.8248
195.8064,196.0062,-45.4791
196.0062,196.2061,-45.7128



//TRACE,Optical Spectrum,Input 1 (Run 10) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.6,3.0582
193,2.5115
193.2,2.3328
194.5,3.3407
194.9,3.1763
195.2,5.1394
195.3,6.2453
195.5,8.7939

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5579
191.8095,192.0094,-57.7841
192.0094,192.2092,-57.1902
192.2092,192.4091,-56.8416
192.4091,192.6089,-56.7621
192.6089,192.8088,-56.9123
192.8088,193.0086,-57.1813
193.0086,193.2084,-57.4082
193.2084,193.4083,-57.4345
193.4083,193.6081,-57.1792
193.6081,193.808,-56.6985
193.808,194.0078,-56.1845
194.0078,194.2077,-55.8819
194.2077,194.4075,-55.9415
194.4075,194.6073,-56.2875
194.6073,194.8072,-56.5817
194.8072,195.007,-56.3445
195.007,195.2069,-55.2109
195.2069,195.4067,-53.1408
195.4067,195.6066,-50.5611
195.6066,195.8064,-48.2284
195.8064,196.0062,-46.9322
196.0062,196.2061,-47.1604



//TRACE,Optical Spectrum,Input 1 (Run 11) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0667
191.7,1.4782
191.8,1.8675
191.9,2.2239
192,2.537
192.1,2.7975
192.2,2.997
192.3,3.1306
192.4,3.1961
192.5,3.1959
192.6,3.136
192.7,3.0288
192.8,2.8893
192.9,2.7371
193,2.5937
193.1,2.4805
193.2,2.4174
193.3,2.4189
193.4,2.4937
193.5,2.6383
193.6,2.844
193.7,3.0896
193.8,3.3477
193.9,3.5852
194,3.7703
194.1,3.8788
194.2,3.8919
194.3,3.8103
194.4,3.6481
194.5,3.4443
194.6,3.2452
194.7,3.1111
194.8,3.1067
194.9,3.2895
195,3.6995
195.1,4.3583
195.2,5.2669
195.3,6.3788
195.4,7.6336
195.5,8.9396
