epoch,loss,mean_absolute_percentage_error,r_squared,val_loss,val_mean_absolute_percentage_error,val_r_squared
0,5.868098258972168,5041767.0,-11.717995643615723,4.054104804992676,11679565.0,-9.416901588439941
1,3.770488977432251,25959478.0,-6.9960784912109375,1.323331594467163,36701884.0,-2.4666147232055664
2,2.3837380409240723,55225312.0,-3.9781293869018555,0.9223159551620483,46490724.0,-1.3850507736206055
3,2.1557610034942627,58134748.0,-3.511601686477661,0.9768115282058716,44369672.0,-1.5281140804290771
4,1.935306429862976,55823836.0,-3.003119945526123,1.0175950527191162,44190280.0,-1.624657392501831
5,1.7176401615142822,59682924.0,-2.623504877090454,0.99184650182724,45276036.0,-1.5444482564926147
6,1.6141300201416016,65640376.0,-2.3916075229644775,0.9987404942512512,45914144.0,-1.5498266220092773
7,1.498835563659668,67072632.0,-2.1395721435546875,1.0626848936080933,45710820.0,-1.6989507675170898
8,1.486475944519043,69656024.0,-2.1448607444763184,1.0493297576904297,46657324.0,-1.6519056558609009
9,1.340944528579712,70008040.0,-1.8580286502838135,1.093689203262329,46777136.0,-1.7552132606506348
10,1.2608362436294556,71339448.0,-1.6659172773361206,1.0604993104934692,47726880.0,-1.661291480064392
11,1.246194839477539,76453656.0,-1.6248719692230225,1.0533558130264282,48097916.0,-1.6354002952575684
12,1.190903902053833,75481544.0,-1.5128746032714844,1.0378696918487549,48584544.0,-1.5888402462005615
13,1.1220146417617798,71651400.0,-1.3672752380371094,1.0574572086334229,48414340.0,-1.6313040256500244
14,1.1396243572235107,75874704.0,-1.4113205671310425,0.9841241836547852,49543900.0,-1.4385038614273071
15,1.0953867435455322,74019152.0,-1.3779634237289429,1.0467652082443237,48472876.0,-1.5974940061569214
16,1.0670994520187378,71876560.0,-1.2665132284164429,1.0186758041381836,48466288.0,-1.5259487628936768
17,1.005791187286377,73313704.0,-1.1242549419403076,1.0035772323608398,48517892.0,-1.4855220317840576
18,0.9972764849662781,78870824.0,-1.105763554573059,1.0916104316711426,47069772.0,-1.707396388053894
19,0.9792858362197876,73871288.0,-1.0515912771224976,1.095708966255188,46607124.0,-1.7184875011444092
20,0.9550338983535767,76017520.0,-1.0440796613693237,0.9873687624931335,47694344.0,-1.4413899183273315
21,0.9212919473648071,76022216.0,-0.9236265420913696,0.9919363856315613,47286952.0,-1.4541969299316406
22,0.898650586605072,76773888.0,-0.9066275358200073,1.0137227773666382,46796656.0,-1.5057332515716553
23,0.9221816658973694,76769672.0,-0.9466843008995056,1.0693509578704834,45793756.0,-1.646240472793579
24,0.8897066712379456,72896688.0,-0.8570888042449951,1.006765365600586,46245128.0,-1.4905500411987305
25,0.8814882040023804,74587112.0,-0.8504323959350586,1.037392258644104,45424592.0,-1.568929672241211
26,0.8427621722221375,73411840.0,-0.7797027230262756,0.9823499917984009,45666288.0,-1.4294967651367188
27,0.8820673227310181,75319008.0,-0.8734690546989441,1.030806064605713,44762744.0,-1.5510728359222412
28,0.8649937510490417,72519056.0,-0.8278773427009583,1.0026659965515137,44928312.0,-1.477781057357788
29,0.8091399669647217,74037664.0,-0.6926440596580505,1.0259202718734741,44329676.0,-1.5367419719696045
30,0.8169521689414978,74278184.0,-0.723906397819519,1.0062373876571655,44448628.0,-1.4857887029647827
31,0.7959519028663635,74314472.0,-0.6777343153953552,0.9918702840805054,44446804.0,-1.4470810890197754
32,0.8110083341598511,74302448.0,-0.687724232673645,0.9973328709602356,43966080.0,-1.4631057977676392
33,0.7599544525146484,71229936.0,-0.6319073438644409,1.005614161491394,43527596.0,-1.4855296611785889
34,0.7637817859649658,71925040.0,-0.5959643125534058,0.9951295852661133,43433768.0,-1.459449052810669
35,0.7468884587287903,73512504.0,-0.576487123966217,0.9649509787559509,43372260.0,-1.384355068206787
36,0.7374163866043091,72382680.0,-0.5508415699005127,0.9540964961051941,43210908.0,-1.3585871458053589
37,0.7271831035614014,70000608.0,-0.5297493934631348,0.9473189115524292,43023652.0,-1.3406524658203125
