//DATASET,
//created,Sun, 21 Feb 2021 13:11:08 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
192.6089,192.8088,-56.8901
192.8088,193.0086,-57.1585
193.0086,193.2084,-57.3847
193.2084,193.4083,-57.4103
193.4083,193.6081,-57.1542
193.6081,193.808,-56.6725
193.808,194.0078,-56.1576
194.0078,194.2077,-55.8542
194.2077,194.4075,-55.9131
194.4075,194.6073,-56.2584
194.6073,194.8072,-56.5516
194.8072,195.007,-56.3127
195.007,195.2069,-55.1767
195.2069,195.4067,-53.1034
195.4067,195.6066,-50.5204
195.6066,195.8064,-48.185
195.8064,196.0062,-46.8872
196.0062,196.2061,-47.1156

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.8217
192,2.488
192.1,2.747
192.3,3.0776
192.6,3.0798
193,2.5344
193.2,2.3563
194.6,3.1693
194.8,3.0274
194.9,3.2078
195,3.6148
195.2,5.1749
195.8,12.004



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.9552
191.8095,192.0094,-57.1381
192.0094,192.2092,-56.5046
192.2092,192.4091,-56.1217
192.4091,192.6089,-56.0135
192.6089,192.8088,-56.1396
192.8088,193.0086,-56.3868
193.0086,193.2084,-56.5912
193.2084,193.4083,-56.5919
193.4083,193.6081,-56.307
193.6081,193.808,-55.794
193.808,194.0078,-55.2485
194.0078,194.2077,-54.9182
194.2077,194.4075,-54.9541
194.4075,194.6073,-55.2749
194.6073,194.8072,-55.5327
194.8072,195.007,-55.237
195.007,195.2069,-54.0182
195.2069,195.4067,-51.8392
195.4067,195.6066,-49.1438
195.6066,195.8064,-46.714
195.8064,196.0062,-45.3644
196.0062,196.2061,-45.5986

//Parameterized
#Frequency,Power
#(THz),(dBm)
194.5,4.3445
195,4.7181
195.1,5.4187



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6597
191.8095,192.0094,-57.8933
192.0094,192.2092,-57.3061
