//DATASET,
//created,Sun, 07 Feb 2021 22:54:44 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
195.6,9.7692
195.7,10.8493
195.8,11.6718

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6703
191.8095,192.0094,-57.9046
192.0094,192.2092,-57.3181
192.2092,192.4091,-56.9759
192.4091,192.6089,-56.9018
192.6089,192.8088,-57.0564
192.8088,193.0086,-57.3295
193.0086,193.2084,-57.5606
193.2084,193.4083,-57.5918
193.4083,193.6081,-57.342
193.6081,193.808,-56.8673
193.808,194.0078,-56.3591
194.0078,194.2077,-56.0617
194.2077,194.4075,-56.1257
194.4075,194.6073,-56.4764
194.6073,194.8072,-56.7775
194.8072,195.007,-56.5512
195.007,195.2069,-55.4335
195.2069,195.4067,-53.3836
195.4067,195.6066,-50.8254
195.6066,195.8064,-48.5108
195.8064,196.0062,-47.2245
196.0062,196.2061,-47.4516



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
193.5,1.8684
193.7,2.2905
193.8,2.5339
194,2.9292
194.5,2.5485
194.6,2.3357
194.7,2.184
195.5,7.6807
195.7,9.9391

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.0343
191.8095,192.0094,-58.2947
192.0094,192.2092,-57.732
192.2092,192.4091,-57.4105
192.4091,192.6089,-57.3537
192.6089,192.8088,-57.5229
192.8088,193.0086,-57.8093
193.0086,193.2084,-58.054
193.2084,193.4083,-58.1007
193.4083,193.6081,-57.8688
193.6081,193.808,-57.4135
193.808,194.0078,-56.9243
194.0078,194.2077,-56.6434
194.2077,194.4075,-56.7219
194.4075,194.6073,-57.0879
194.6073,194.8072,-57.4112
194.8072,195.007,-57.2202
195.007,195.2069,-56.1537
195.2069,195.4067,-54.1691
195.4067,195.6066,-51.6802
195.6066,195.8064,-49.424
195.8064,196.0062,-48.1698
196.0062,196.2061,-48.3933



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.2,3.3525
192.4,3.5679
193,3.001
193.1,2.8934
193.2,2.8365
193.3,2.8447
193.6,3.2934
194.2,4.3868
194.3,4.311
194.6,3.7663
194.7,3.6422
195.4,8.325
195.5,9.6607

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.1874
191.8095,192.0094,-57.3871
192.0094,192.2092,-56.7689
192.2092,192.4091,-56.3992
192.4091,192.6089,-56.3021
192.6089,192.8088,-56.4374
192.8088,193.0086,-56.693
193.0086,193.2084,-56.9061
193.2084,193.4083,-56.9166
193.4083,193.6081,-56.6431
193.6081,193.808,-56.1426
193.808,194.0078,-55.6093
194.0078,194.2077,-55.2896
194.2077,194.4075,-55.3347
194.4075,194.6073,-55.6651
194.6073,194.8072,-55.937
194.8072,195.007,-55.6638
195.007,195.2069,-54.4779
195.2069,195.4067,-52.3409
