//DATASET,
//created,Sat, 06 Feb 2021 21:23:39 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
193.9,3.5852
194,3.7703
194.1,3.8788
194.2,3.8919
194.3,3.8103
194.4,3.6481
194.5,3.4443
194.6,3.2452
194.7,3.1111
194.8,3.1067
194.9,3.2895
195,3.6995
195.1,4.3583
195.2,5.2669
195.3,6.3788
195.4,7.6336
195.5,8.9396
195.6,10.1934
195.7,11.2867
195.8,12.1191

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4956
191.8095,192.0094,-57.7174
192.0094,192.2092,-57.1194
192.2092,192.4091,-56.7673
192.4091,192.6089,-56.6848
192.6089,192.8088,-56.8324
192.8088,193.0086,-57.0992
193.0086,193.2084,-57.3238
193.2084,193.4083,-57.3475
193.4083,193.6081,-57.0891
193.6081,193.808,-56.6051
193.808,194.0078,-56.0878
194.0078,194.2077,-55.7823
194.2077,194.4075,-55.8395
194.4075,194.6073,-56.1829
194.6073,194.8072,-56.4734
194.8072,195.007,-56.2301
195.007,195.2069,-55.0877
195.2069,195.4067,-53.0064
195.4067,195.6066,-50.4147
195.6066,195.8064,-48.0721
195.8064,196.0062,-46.7704
196.0062,196.2061,-46.9992



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.9,2.1771
192.2,2.9459
192.3,3.0783
192.6,3.0806
192.9,2.6793
193,2.5352
193.7,3.0238
194,3.701
194.1,3.8086
194.3,3.7382
194.4,3.5752
194.5,3.3705
194.9,3.2089
195,3.616
195.1,4.2714
195.2,5.1761
195.5,8.8359
195.7,11.1757

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5399
191.8095,192.0094,-57.7649
192.0094,192.2092,-57.1698
192.2092,192.4091,-56.8202
192.4091,192.6089,-56.7399
192.6089,192.8088,-56.8893
192.8088,193.0086,-57.1577
193.0086,193.2084,-57.3839
193.2084,193.4083,-57.4095
193.4083,193.6081,-57.1533
193.6081,193.808,-56.6716
193.808,194.0078,-56.1567
194.0078,194.2077,-55.8532
194.2077,194.4075,-55.9121
194.4075,194.6073,-56.2573
194.6073,194.8072,-56.5506
194.8072,195.007,-56.3116
195.007,195.2069,-55.1755
195.2069,195.4067,-53.1021
195.4067,195.6066,-50.519
195.6066,195.8064,-48.1834
195.8064,196.0062,-46.8856
196.0062,196.2061,-47.114



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.8075
191.9,2.1618
192,2.4729
192.5,3.1236
192.6,3.0625
192.7,2.9543
192.8,2.8136
192.9,2.6605
193.4,2.4111
193.6,2.7583
193.8,3.2588
194.1,3.7856
194.3,3.7147
194.4,3.5515
194.9,3.1826
195,3.5887
195.3,6.2527
195.4,7.5018
195.5,8.802
195.7,11.1394

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5544
191.8095,192.0094,-57.7804
192.0094,192.2092,-57.1863
192.2092,192.4091,-56.8375
192.4091,192.6089,-56.7579
192.6089,192.8088,-56.9078
192.8088,193.0086,-57.1767
193.0086,193.2084,-57.4035
193.2084,193.4083,-57.4297
193.4083,193.6081,-57.1742
193.6081,193.808,-56.6933
193.808,194.0078,-56.1791
194.0078,194.2077,-55.8763
194.2077,194.4075,-55.9358
194.4075,194.6073,-56.2817
194.6073,194.8072,-56.5757
