,Expected Value,Ch 0 (191.6),Ch 1 (191.7),Ch 2 (191.8),Ch 3 (191.9),Ch 4 (192.0),Ch 5 (192.1),Ch 6 (192.2),Ch 7 (192.3),Ch 8 (192.4),Ch 9 (192.5),Ch 10 (192.6),Ch 11 (192.7),Ch 12 (192.8),Ch 13 (192.9),Ch 14 (193.0),Ch 15 (193.1),Ch 16 (193.2),Ch 17 (193.3),Ch 18 (193.4),Ch 19 (193.5),Ch 20 (193.6),Ch 21 (193.7),Ch 22 (193.8),Ch 23 (193.9),Ch 24 (194.0),Ch 25 (194.1),Ch 26 (194.2),Ch 27 (194.3),Ch 28 (194.4),Ch 29 (194.5),Ch 30 (194.6),Ch 31 (194.7),Ch 32 (194.8),Ch 33 (194.9),Ch 34 (195.0),Ch 35 (195.1),Ch 36 (195.2),Ch 37 (195.3),Ch 38 (195.4),Ch 39 (195.5),Ch 40 (195.6),Ch 41 (195.7),Ch 42 (195.8),Ch 43 (195.9)
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.5916786193847656,0.005966836155714622,0.007074479273064641,0.005363059736944086,0.0,0.005909925878525757,0.0038308145135103368,0.003219953794652545,0.004439877333613969,0.002359816647262119,0.003785755317309597,0.0036036806698427006,0.003263791573643573,0.00380805979381526,0.004083546837557486,0.004321581107707769,0.0043254014184467456,0.006400513329017751,0.0033222920992298944,0.003713784781868958,0.0043259701236631615,0.002860632849810363,0.0039040544018378734,0.002121521910691136,0.002481617651216667,0.002272579531671191,0.0032683308160985397,0.0021332068257759965,0.002727257318861409,0.00264075284214142,0.0036170017751365343,0.004429263648942964,0.004288271326198528,0.0026783858957328305,0.004214839754688369,0.0025976671829553532,0.0021243701795227114,0.002117919394757716,0.0037015002508354383,0.01067469900669383,0.016345408533323398,0.02786308800705304,0.03801491173158852,0.045694687124089056,0.051485952757500925
4,1.7103018760681152,0.007575787087870398,0.009314025599721441,0.007617789291514055,0.006017695764707799,0.0,0.0044354123749957355,0.00632754815450405,0.003643927371823405,0.003665120514351476,0.00398844220734496,0.006322742969205101,0.00449929876090963,0.0037906458752510882,0.003062290951528817,0.00699413940645285,0.005451759073404485,0.00511837286163798,0.0052381911552644225,0.005691763621175539,0.005645023032152426,0.005163661971160022,0.005088173741724991,0.004199922496922567,0.002819031425798173,0.003405300034893075,0.003687765003081643,0.004036464076740239,0.003048881259558728,0.0026734586731412546,0.0030359227776161233,0.0040174992941926346,0.0047994071801865535,0.0035250287471672204,0.005110130062210008,0.0030898474384126635,0.002509095788027417,0.003794057884342217,0.00652461013322412,0.014958815416252581,0.023285339872488542,0.034241323971349914,0.04733779333318407,0.06002189614404279,0.0687207306181375
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.975240707397461,0.01212436323552269,0.00926650456980841,0.008371593529628393,0.009196682738574906,0.00818321660853013,0.004447949919267771,0.007507557609278249,0.0052497158307167014,0.006943398123358967,0.0,0.004962140184641557,0.005405550178870438,0.008858960380353068,0.006405413255962884,0.006593496401667072,0.008289804895381482,0.007257391640954695,0.008620397988538498,0.006755637492676582,0.008643102901779571,0.006489051399471013,0.005343696200897954,0.004362660891034997,0.005770059241173642,0.004165355491187373,0.0035258637733966897,0.00415278965495704,0.0027734516111728564,0.0036602688428749057,0.004278656709740228,0.006889497851040044,0.006507720765368763,0.005948539698633709,0.004749406510099789,0.0041485504787350455,0.002937855723934843,0.004480991018243007,0.007647928344647481,0.01930782252295258,0.030659437275595895,0.0470138707256422,0.06353186833367858,0.07627830807715213,0.08643631176446825
