//DATASET,
//created,Wed, 17 Feb 2021 00:29:43 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
192.6089,192.8088,-57.4871
192.8088,193.0086,-57.7724
193.0086,193.2084,-58.0161
193.2084,193.4083,-58.0615
193.4083,193.6081,-57.8283
193.6081,193.808,-57.3715
193.808,194.0078,-56.8808
194.0078,194.2077,-56.5987
194.2077,194.4075,-56.676
194.4075,194.6073,-57.0408
194.6073,194.8072,-57.3625
194.8072,195.007,-57.1688
195.007,195.2069,-56.0983
195.2069,195.4067,-54.1087
195.4067,195.6066,-51.6145
195.6066,195.8064,-49.3538
195.8064,196.0062,-48.0971
196.0062,196.2061,-48.321

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.9,1.6851
192.6,2.4985
193.6,2.1004
194,2.9729
194.7,2.2321
195.7,10.0091



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.778
191.8095,192.0094,-58.0201
192.0094,192.2092,-57.4407
192.2092,192.4091,-57.1046
192.4091,192.6089,-57.0356
192.6089,192.8088,-57.1945
192.8088,193.0086,-57.4715
193.0086,193.2084,-57.7067
193.2084,193.4083,-57.7424
193.4083,193.6081,-57.4979
193.6081,193.808,-57.0289
193.808,194.0078,-56.5264
194.0078,194.2077,-56.2339
194.2077,194.4075,-56.3022
194.4075,194.6073,-56.6574
194.6073,194.8072,-56.9651
194.8072,195.007,-56.7492
195.007,195.2069,-55.6467
195.2069,195.4067,-53.6161
195.4067,195.6066,-51.0785
195.6066,195.8064,-48.7812
195.8064,196.0062,-47.5044
196.0062,196.2061,-47.7305

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8001
191.7,1.2008
191.8,1.5796
191.9,1.9258
192.3,2.7973
192.5,2.849
192.6,2.7833
192.7,2.6708
192.9,2.3692
193,2.2208
193.1,2.1023
193.3,2.029
193.5,2.2344
193.8,2.9208
193.9,3.1508
194,3.3291
194.4,3.1842
194.5,2.9744
194.7,2.6248
194.8,2.6085
194.9,2.7762
195,3.1678
195.1,3.8049
195.2,4.6886
195.3,5.7735
195.4,7.0005
195.5,8.2792
195.6,9.5078
195.7,10.5798
195.8,11.3961



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.5632
191.8095,192.0094,-56.7178
192.0094,192.2092,-56.0586
192.2092,192.4091,-55.6533
192.4091,192.6089,-55.5265
192.6089,192.8088,-55.6369
192.8088,193.0086,-55.87
193.0086,193.2084,-56.0599
193.2084,193.4083,-56.0439
193.4083,193.6081,-55.7396
193.6081,193.808,-55.2057
193.808,194.0078,-54.6396
194.0078,194.2077,-54.2913
194.2077,194.4075,-54.3118
194.4075,194.6073,-54.6163
194.6073,194.8072,-54.8504
194.8072,195.007,-54.5167
195.007,195.2069,-53.2422
195.2069,195.4067,-50.992
195.4067,195.6066,-48.2211
195.6066,195.8064,-45.7279
195.8064,196.0062,-44.3435
196.0062,196.2061,-44.5815

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.9485
191.9,3.21
192.3,4.2332
193.1,3.7311
193.2,3.6867
193.7,4.4761
193.8,4.7597
193.9,5.0216
194.9,4.9872
195.1,6.1888
195.3,8.3805



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5497
